,precision,recall,f1-score,support
Flap / Valve,0.9545454545454546,0.9545454545454546,0.9545454545454546,88.0
Humidity,0.8,0.8979591836734694,0.8461538461538463,49.0
Speed,0.8444444444444444,0.8085106382978723,0.8260869565217391,47.0
Temperature,0.8421052631578947,0.7619047619047619,0.8,42.0
Vdp,0.7727272727272727,0.6538461538461539,0.7083333333333333,26.0
Volume,0.6585365853658537,0.7297297297297297,0.6923076923076923,37.0
accuracy,0.8373702422145328,0.8373702422145328,0.8373702422145328,0.8373702422145328
macro avg,0.8120598367068199,0.8010826536662403,0.8045712138103442,289.0
weighted avg,0.8398410819756614,0.8373702422145328,0.8370923069208009,289.0
