,precision,recall,f1-score,support
Operating,0.3333333333333333,0.2857142857142857,0.30769230769230765,7.0
Speed,0.14285714285714285,0.125,0.13333333333333333,8.0
Temperature,0.7619047619047619,0.9411764705882353,0.8421052631578947,34.0
Valve,0.6666666666666666,0.47619047619047616,0.5555555555555556,21.0
accuracy,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429
macro avg,0.47619047619047616,0.45702030812324934,0.4596716149347728,70.0
weighted avg,0.6197278911564625,0.6428571428571429,0.6216965490649701,70.0
