,precision,recall,f1-score,support
Operating,0.547945205479452,0.49382716049382713,0.5194805194805194,81.0
Speed,0.7222222222222222,0.6989247311827957,0.7103825136612022,93.0
Temperature,0.9382716049382716,0.8260869565217391,0.8786127167630059,92.0
Valve,0.5686274509803921,0.725,0.6373626373626374,80.0
accuracy,0.6907514450867052,0.6907514450867052,0.6907514450867052,0.6907514450867052
macro avg,0.6942666209050845,0.6859597120495905,0.6864595968168412,346.0
weighted avg,0.7033566822059383,0.6907514450867052,0.6935401062994839,346.0
