,precision,recall,f1-score,support
Flap / Valve,0.7755102040816326,0.95,0.8539325842696629,40.0
Humidity,0.8333333333333334,0.7692307692307693,0.8,26.0
Speed,0.7857142857142857,0.7674418604651163,0.7764705882352941,43.0
Temperature,0.7142857142857143,0.7142857142857143,0.7142857142857143,21.0
Vdp,0.2857142857142857,0.34782608695652173,0.3137254901960784,23.0
Volume,0.07142857142857142,0.04,0.05128205128205128,25.0
accuracy,0.6460674157303371,0.6460674157303371,0.6460674157303371,0.6460674157303371
macro avg,0.5776643990929705,0.598130738489687,0.5849494047114668,178.0
weighted avg,0.6170220897347704,0.6460674157303371,0.628333012480142,178.0
