,precision,recall,f1-score,support
Flap / Valve,0.775510204081633,0.95,0.853932584269663,40
Humidity,0.833333333333333,0.769230769230769,0.8,26
Speed,0.785714285714286,0.767441860465116,0.776470588235294,43
Temperature,0.714285714285714,0.714285714285714,0.714285714285714,21
Vdp,0.285714285714286,0.347826086956522,0.313725490196078,23
Volume,0.071428571428572,0.04,0.051282051282051,25
accuracy,0.646067415730337,0.646067415730337,0.646067415730337,0.646067415730337
macro avg,0.57766439909297,0.598130738489687,0.584949404711467,178
weighted avg,0.61702208973477,0.646067415730337,0.628333012480142,178
