,precision,recall,f1-score,support
Operating,0.6,0.6296296296296297,0.6144578313253012,81.0
Speed,0.8269230769230769,0.46236559139784944,0.593103448275862,93.0
Temperature,0.9024390243902439,0.8043478260869565,0.8505747126436782,92.0
Valve,0.5118110236220472,0.8125,0.6280193236714976,80.0
accuracy,0.6734104046242775,0.6734104046242775,0.6734104046242775,0.6734104046242775
macro avg,0.7102932812338419,0.677210761778609,0.6715388289790848,346.0
weighted avg,0.7210205730852959,0.6734104046242775,0.6746361979304704,346.0
