,precision,recall,f1-score,support
Operating,0.6,0.5925925925925926,0.5962732919254657,81.0
Speed,0.6847826086956522,0.6774193548387096,0.6810810810810811,93.0
Temperature,0.8876404494382022,0.8586956521739131,0.8729281767955801,92.0
Valve,0.611764705882353,0.65,0.6303030303030304,80.0
accuracy,0.6994219653179191,0.6994219653179191,0.6994219653179191,0.6994219653179191
macro avg,0.6960469410040518,0.6946768999013038,0.6951463950262894,346.0
weighted avg,0.7019909838947933,0.6994219653179191,0.7004980112021361,346.0
