,precision,recall,f1-score,support
Operating,0.9230769230769231,0.24489795918367346,0.3870967741935484,49.0
Speed,0.5348837209302325,0.6216216216216216,0.575,37.0
Temperature,1.0,0.7,0.8235294117647058,50.0
Valve,0.3170731707317073,0.7027027027027027,0.43697478991596644,37.0
accuracy,0.5549132947976878,0.5549132947976878,0.5549132947976878,0.5549132947976878
macro avg,0.6937584536847157,0.5673055708769994,0.5556502439685552,173.0
weighted avg,0.7326773076431272,0.5549132947976878,0.5640883222578608,173.0
