,precision,recall,f1-score,support
Operating,0.81,1.0,0.8950276243093923,81.0
Speed,0.978494623655914,0.978494623655914,0.978494623655914,93.0
Temperature,1.0,0.9456521739130435,0.9720670391061452,92.0
Valve,0.9696969696969697,0.8,0.8767123287671234,80.0
accuracy,0.9335260115606936,0.9335260115606936,0.9335260115606936,0.9335260115606936
macro avg,0.9395478983382209,0.9310366993922394,0.9305754039596437,346.0
weighted avg,0.9427334033981433,0.9335260115606936,0.9337121140699306,346.0
