,precision,recall,f1-score,support
Fan,0.91,0.875,0.892156862745098,104.0
Flap,0.75,0.9933774834437086,0.8547008547008547,151.0
Temperature,0.984,0.9389312977099237,0.9609375000000001,131.0
Valve,0.75,0.1276595744680851,0.2181818181818182,47.0
accuracy,0.8545034642032333,0.8545034642032333,0.8545034642032333,0.8545034642032333
macro avg,0.8485,0.7337420889054294,0.7314942589069428,433.0
weighted avg,0.8592240184757506,0.8545034642032333,0.8267471148726667,433.0
