,precision,recall,f1-score,support
Operating,0.7037037037037037,0.3877551020408163,0.5,49.0
Speed,0.6222222222222222,0.7567567567567568,0.6829268292682927,37.0
Temperature,0.9090909090909091,0.8,0.8510638297872342,50.0
Valve,0.42105263157894735,0.6486486486486487,0.5106382978723405,37.0
accuracy,0.6416184971098265,0.6416184971098265,0.6416184971098265,0.6416184971098265
macro avg,0.6640173666489456,0.6482901268615555,0.6361572392319668,173.0
weighted avg,0.6851861070905793,0.6416184971098265,0.6428618566102031,173.0
