,precision,recall,f1-score,support
Operating,0.5833333333333334,0.4666666666666667,0.5185185185185186,15.0
Speed,0.4,0.125,0.19047619047619047,16.0
Temperature,0.7,0.9824561403508771,0.8175182481751825,57.0
Valve,0.631578947368421,0.42857142857142855,0.5106382978723404,28.0
accuracy,0.6637931034482759,0.6637931034482759,0.6637931034482759,0.6637931034482759
macro avg,0.5787280701754386,0.5006735588972431,0.509287813760558,116.0
weighted avg,0.627019056261343,0.6637931034482759,0.6182914595845497,116.0
