,precision,recall,f1-score,support
Operating,0.81,1.0,0.8950276243093923,81.0
Speed,1.0,0.978494623655914,0.9891304347826088,93.0
Temperature,1.0,0.9456521739130435,0.9720670391061452,92.0
Valve,0.9705882352941176,0.825,0.8918918918918919,80.0
accuracy,0.9393063583815029,0.9393063583815029,0.9393063583815029,0.9393063583815029
macro avg,0.9451470588235295,0.9372866993922393,0.9370292475225095,346.0
weighted avg,0.9487198231893913,0.9393063583815029,0.9400805981299425,346.0
