--> Epoch 0: loss 2.2421; accuracy: 0.0944; best accuracy: 0.0944
--> Epoch 1: loss 2.1258; accuracy: 0.0722; best accuracy: 0.0944
--> Epoch 2: loss 2.1510; accuracy: 0.0222; best accuracy: 0.0944
--> Epoch 3: loss 2.0698; accuracy: 0.1111; best accuracy: 0.1111
--> Epoch 4: loss 2.1702; accuracy: 0.0278; best accuracy: 0.1111
--> Epoch 5: loss 2.0352; accuracy: 0.0278; best accuracy: 0.1111
--> Epoch 6: loss 2.0065; accuracy: 0.0444; best accuracy: 0.1111
--> Epoch 7: loss 2.0058; accuracy: 0.0778; best accuracy: 0.1111
--> Epoch 8: loss 1.9844; accuracy: 0.1667; best accuracy: 0.1667
--> Epoch 9: loss 1.9542; accuracy: 0.1778; best accuracy: 0.1778
--> Epoch 10: loss 1.8918; accuracy: 0.1889; best accuracy: 0.1889
--> Epoch 11: loss 1.9385; accuracy: 0.1889; best accuracy: 0.1889
--> Epoch 12: loss 2.0077; accuracy: 0.1889; best accuracy: 0.1889
--> Epoch 13: loss 1.9540; accuracy: 0.2944; best accuracy: 0.2944
--> Epoch 14: loss 1.8921; accuracy: 0.2944; best accuracy: 0.2944
--> Epoch 15: loss 1.9500; accuracy: 0.3056; best accuracy: 0.3056
--> Epoch 16: loss 1.8764; accuracy: 0.3056; best accuracy: 0.3056
--> Epoch 17: loss 1.8324; accuracy: 0.3056; best accuracy: 0.3056
--> Epoch 18: loss 1.7480; accuracy: 0.3444; best accuracy: 0.3444
--> Epoch 19: loss 1.8023; accuracy: 0.3444; best accuracy: 0.3444
--> Epoch 20: loss 1.6933; accuracy: 0.3500; best accuracy: 0.3500
--> Epoch 21: loss 1.7829; accuracy: 0.3500; best accuracy: 0.3500
--> Epoch 22: loss 1.7352; accuracy: 0.3556; best accuracy: 0.3556
--> Epoch 23: loss 1.7217; accuracy: 0.3444; best accuracy: 0.3556
--> Epoch 24: loss 1.7080; accuracy: 0.3444; best accuracy: 0.3556
--> Epoch 25: loss 1.7632; accuracy: 0.3500; best accuracy: 0.3556
--> Epoch 26: loss 1.6501; accuracy: 0.3556; best accuracy: 0.3556
--> Epoch 27: loss 1.7331; accuracy: 0.3500; best accuracy: 0.3556
--> Epoch 28: loss 1.6469; accuracy: 0.3667; best accuracy: 0.3667
--> Epoch 29: loss 1.9492; accuracy: 0.3667; best accuracy: 0.3667
--> Epoch 30: loss 1.8604; accuracy: 0.3611; best accuracy: 0.3667
--> Epoch 31: loss 1.6157; accuracy: 0.3556; best accuracy: 0.3667
--> Epoch 32: loss 1.7709; accuracy: 0.3500; best accuracy: 0.3667
--> Epoch 33: loss 1.6157; accuracy: 0.3667; best accuracy: 0.3667
--> Epoch 34: loss 1.7001; accuracy: 0.3667; best accuracy: 0.3667
--> Epoch 35: loss 1.6878; accuracy: 0.3722; best accuracy: 0.3722
--> Epoch 36: loss 1.6772; accuracy: 0.3722; best accuracy: 0.3722
--> Epoch 37: loss 1.7652; accuracy: 0.3611; best accuracy: 0.3722
--> Epoch 38: loss 1.5996; accuracy: 0.3667; best accuracy: 0.3722
--> Epoch 39: loss 1.7222; accuracy: 0.3667; best accuracy: 0.3722
--> Epoch 40: loss 1.6313; accuracy: 0.3667; best accuracy: 0.3722
--> Epoch 41: loss 1.5936; accuracy: 0.3667; best accuracy: 0.3722
--> Epoch 42: loss 1.6541; accuracy: 0.3722; best accuracy: 0.3722
--> Epoch 43: loss 1.6033; accuracy: 0.3833; best accuracy: 0.3833
--> Epoch 44: loss 1.5242; accuracy: 0.3833; best accuracy: 0.3833
--> Epoch 45: loss 1.7306; accuracy: 0.3833; best accuracy: 0.3833
--> Epoch 46: loss 1.5729; accuracy: 0.3833; best accuracy: 0.3833
--> Epoch 47: loss 1.5237; accuracy: 0.3833; best accuracy: 0.3833
--> Epoch 48: loss 1.8316; accuracy: 0.3833; best accuracy: 0.3833
--> Epoch 49: loss 1.6246; accuracy: 0.3611; best accuracy: 0.3833
--> AHU_Preheater Test Accuracy: 0.3725
0.37254901960784315
