--> Epoch 80: loss 1.2028; accuracy: 0.5782; best accuracy: 0.5782
--> Epoch 81: loss 1.1509; accuracy: 0.5728; best accuracy: 0.5782
--> Epoch 82: loss 1.2142; accuracy: 0.5407; best accuracy: 0.5782
--> Epoch 83: loss 1.3099; accuracy: 0.5921; best accuracy: 0.5921
--> Epoch 84: loss 1.1333; accuracy: 0.5921; best accuracy: 0.5921
--> Epoch 85: loss 1.2172; accuracy: 0.5557; best accuracy: 0.5921
--> Epoch 86: loss 1.1361; accuracy: 0.5268; best accuracy: 0.5921
--> Epoch 87: loss 1.0881; accuracy: 0.5696; best accuracy: 0.5921
--> Epoch 88: loss 1.0449; accuracy: 0.5589; best accuracy: 0.5921
--> Epoch 89: loss 1.3396; accuracy: 0.4914; best accuracy: 0.5921
--> Epoch 90: loss 1.4503; accuracy: 0.5867; best accuracy: 0.5921
--> Epoch 91: loss 1.1044; accuracy: 0.5739; best accuracy: 0.5921
--> Epoch 92: loss 1.1506; accuracy: 0.5675; best accuracy: 0.5921
--> Epoch 93: loss 1.1783; accuracy: 0.5396; best accuracy: 0.5921
--> Epoch 94: loss 1.1750; accuracy: 0.5749; best accuracy: 0.5921
--> Epoch 95: loss 1.2219; accuracy: 0.5739; best accuracy: 0.5921
--> Epoch 96: loss 1.1527; accuracy: 0.5985; best accuracy: 0.5985
--> Epoch 97: loss 1.2039; accuracy: 0.5910; best accuracy: 0.5985
--> Epoch 98: loss 1.2554; accuracy: 0.5642; best accuracy: 0.5985
--> Epoch 99: loss 1.1492; accuracy: 0.5974; best accuracy: 0.5985
--> Epoch 100: loss 1.0338; accuracy: 0.5546; best accuracy: 0.5985
--> Epoch 101: loss 1.0614; accuracy: 0.6017; best accuracy: 0.6017
--> Epoch 102: loss 1.1920; accuracy: 0.5685; best accuracy: 0.6017
--> Epoch 103: loss 1.0702; accuracy: 0.5685; best accuracy: 0.6017
--> Epoch 104: loss 1.3766; accuracy: 0.6049; best accuracy: 0.6049
--> Epoch 105: loss 1.4238; accuracy: 0.5203; best accuracy: 0.6049
--> Epoch 106: loss 1.0646; accuracy: 0.5685; best accuracy: 0.6049
--> Epoch 107: loss 1.1048; accuracy: 0.5525; best accuracy: 0.6049
--> Epoch 108: loss 1.3490; accuracy: 0.5942; best accuracy: 0.6049
--> Epoch 109: loss 1.0937; accuracy: 0.5418; best accuracy: 0.6049
--> Epoch 110: loss 1.3598; accuracy: 0.5782; best accuracy: 0.6049
--> Epoch 111: loss 0.9737; accuracy: 0.5621; best accuracy: 0.6049
--> Epoch 112: loss 1.0495; accuracy: 0.5375; best accuracy: 0.6049
--> Epoch 113: loss 1.3569; accuracy: 0.6135; best accuracy: 0.6135
--> Epoch 114: loss 1.6250; accuracy: 0.5043; best accuracy: 0.6135
--> Epoch 115: loss 1.1384; accuracy: 0.6039; best accuracy: 0.6135
--> Epoch 116: loss 0.9353; accuracy: 0.5514; best accuracy: 0.6135
--> Epoch 117: loss 1.1459; accuracy: 0.6006; best accuracy: 0.6135
--> Epoch 118: loss 1.0107; accuracy: 0.5728; best accuracy: 0.6135
--> Epoch 119: loss 1.3976; accuracy: 0.5653; best accuracy: 0.6135
--> Epoch 120: loss 1.1410; accuracy: 0.5300; best accuracy: 0.6135
--> Epoch 121: loss 1.1563; accuracy: 0.6028; best accuracy: 0.6135
--> Epoch 122: loss 0.7740; accuracy: 0.5610; best accuracy: 0.6135
--> Epoch 123: loss 1.0266; accuracy: 0.5964; best accuracy: 0.6135
--> Epoch 124: loss 1.0923; accuracy: 0.5450; best accuracy: 0.6135
--> Epoch 125: loss 1.4592; accuracy: 0.6071; best accuracy: 0.6135
--> Epoch 126: loss 1.1491; accuracy: 0.6113; best accuracy: 0.6135
--> Epoch 127: loss 1.0800; accuracy: 0.5996; best accuracy: 0.6135
--> Epoch 128: loss 1.0377; accuracy: 0.5632; best accuracy: 0.6135
--> Epoch 129: loss 1.3436; accuracy: 0.5985; best accuracy: 0.6135
--> Epoch 130: loss 1.1900; accuracy: 0.5974; best accuracy: 0.6135
--> Epoch 131: loss 1.1853; accuracy: 0.6188; best accuracy: 0.6188
--> Epoch 132: loss 1.1002; accuracy: 0.5953; best accuracy: 0.6188
--> Epoch 133: loss 1.3377; accuracy: 0.6135; best accuracy: 0.6188
--> Epoch 134: loss 1.0966; accuracy: 0.5985; best accuracy: 0.6188
--> Epoch 135: loss 1.1105; accuracy: 0.6242; best accuracy: 0.6242
--> Epoch 136: loss 1.0845; accuracy: 0.6231; best accuracy: 0.6242
--> Epoch 137: loss 0.9272; accuracy: 0.6103; best accuracy: 0.6242
--> Epoch 138: loss 0.9767; accuracy: 0.6103; best accuracy: 0.6242
--> Epoch 139: loss 1.1940; accuracy: 0.5931; best accuracy: 0.6242
--> Epoch 140: loss 1.1147; accuracy: 0.5642; best accuracy: 0.6242
--> Epoch 141: loss 0.9432; accuracy: 0.6006; best accuracy: 0.6242
--> Epoch 142: loss 1.2371; accuracy: 0.5835; best accuracy: 0.6242
--> Epoch 143: loss 1.1182; accuracy: 0.6103; best accuracy: 0.6242
--> Epoch 144: loss 1.2876; accuracy: 0.6360; best accuracy: 0.6360
--> Epoch 145: loss 1.3523; accuracy: 0.6167; best accuracy: 0.6360
--> Epoch 146: loss 0.9855; accuracy: 0.5974; best accuracy: 0.6360
--> Epoch 147: loss 1.1985; accuracy: 0.6071; best accuracy: 0.6360
--> Epoch 148: loss 1.1100; accuracy: 0.6017; best accuracy: 0.6360
--> Epoch 149: loss 0.8444; accuracy: 0.5771; best accuracy: 0.6360
--> Epoch 150: loss 1.0437; accuracy: 0.5889; best accuracy: 0.6360
--> Epoch 151: loss 1.2426; accuracy: 0.6188; best accuracy: 0.6360
--> Epoch 152: loss 1.1409; accuracy: 0.6328; best accuracy: 0.6360
--> Epoch 153: loss 1.0808; accuracy: 0.5535; best accuracy: 0.6360
--> Epoch 154: loss 1.2365; accuracy: 0.5546; best accuracy: 0.6360
--> Epoch 155: loss 1.0303; accuracy: 0.5942; best accuracy: 0.6360
--> Epoch 156: loss 1.0008; accuracy: 0.5385; best accuracy: 0.6360
--> Epoch 157: loss 1.0644; accuracy: 0.5953; best accuracy: 0.6360
--> Epoch 158: loss 0.9627; accuracy: 0.5418; best accuracy: 0.6360
--> Epoch 159: loss 1.2725; accuracy: 0.6381; best accuracy: 0.6381
--> Epoch 160: loss 1.0097; accuracy: 0.5792; best accuracy: 0.6381
--> Epoch 161: loss 1.0928; accuracy: 0.5696; best accuracy: 0.6381
--> Epoch 162: loss 0.9148; accuracy: 0.6274; best accuracy: 0.6381
--> Epoch 163: loss 0.9723; accuracy: 0.5589; best accuracy: 0.6381
--> Epoch 164: loss 1.2008; accuracy: 0.6146; best accuracy: 0.6381
--> Epoch 165: loss 1.0760; accuracy: 0.6360; best accuracy: 0.6381
--> Epoch 166: loss 1.2990; accuracy: 0.5803; best accuracy: 0.6381
--> Epoch 167: loss 0.8012; accuracy: 0.5428; best accuracy: 0.6381
--> Epoch 168: loss 1.0070; accuracy: 0.6167; best accuracy: 0.6381
--> Epoch 169: loss 1.2777; accuracy: 0.6135; best accuracy: 0.6381
--> Epoch 170: loss 0.9300; accuracy: 0.5621; best accuracy: 0.6381
--> Epoch 171: loss 1.0218; accuracy: 0.6370; best accuracy: 0.6381
--> Epoch 172: loss 1.1035; accuracy: 0.6306; best accuracy: 0.6381
--> Epoch 173: loss 0.6181; accuracy: 0.5257; best accuracy: 0.6381
--> Epoch 174: loss 1.2105; accuracy: 0.5771; best accuracy: 0.6381
--> Epoch 175: loss 1.1121; accuracy: 0.5717; best accuracy: 0.6381
--> Epoch 176: loss 1.0064; accuracy: 0.6017; best accuracy: 0.6381
--> Epoch 177: loss 1.2020; accuracy: 0.6039; best accuracy: 0.6381
--> Epoch 178: loss 1.0883; accuracy: 0.5675; best accuracy: 0.6381
--> Epoch 179: loss 0.9181; accuracy: 0.6221; best accuracy: 0.6381
--> Epoch 180: loss 1.0285; accuracy: 0.6317; best accuracy: 0.6381
--> Epoch 181: loss 1.0247; accuracy: 0.6167; best accuracy: 0.6381
--> Epoch 182: loss 0.9920; accuracy: 0.5857; best accuracy: 0.6381
--> Epoch 183: loss 1.1749; accuracy: 0.6263; best accuracy: 0.6381
--> Epoch 184: loss 0.9197; accuracy: 0.5857; best accuracy: 0.6381
--> Epoch 185: loss 1.2410; accuracy: 0.5782; best accuracy: 0.6381
--> Epoch 186: loss 0.9510; accuracy: 0.5835; best accuracy: 0.6381
--> Epoch 187: loss 0.9893; accuracy: 0.5707; best accuracy: 0.6381
--> Epoch 188: loss 0.8995; accuracy: 0.5782; best accuracy: 0.6381
--> Epoch 189: loss 1.2412; accuracy: 0.6071; best accuracy: 0.6381
--> Epoch 190: loss 1.0887; accuracy: 0.5910; best accuracy: 0.6381
--> Epoch 191: loss 1.1476; accuracy: 0.5407; best accuracy: 0.6381
--> Epoch 192: loss 1.1222; accuracy: 0.6381; best accuracy: 0.6381
--> Epoch 193: loss 1.1939; accuracy: 0.5996; best accuracy: 0.6381
--> Epoch 194: loss 0.9737; accuracy: 0.6531; best accuracy: 0.6531
--> Epoch 195: loss 1.0395; accuracy: 0.5846; best accuracy: 0.6531
--> Epoch 196: loss 1.1602; accuracy: 0.6328; best accuracy: 0.6531
--> Epoch 197: loss 1.0688; accuracy: 0.6124; best accuracy: 0.6531
--> Epoch 198: loss 0.9945; accuracy: 0.5803; best accuracy: 0.6531
--> Epoch 199: loss 1.1578; accuracy: 0.6360; best accuracy: 0.6531
--> Epoch 200: loss 0.9866; accuracy: 0.6124; best accuracy: 0.6531
--> Epoch 201: loss 1.0816; accuracy: 0.5739; best accuracy: 0.6531
--> Epoch 202: loss 1.2441; accuracy: 0.5353; best accuracy: 0.6531
--> Epoch 203: loss 0.8822; accuracy: 0.6178; best accuracy: 0.6531
--> Epoch 204: loss 1.2292; accuracy: 0.6360; best accuracy: 0.6531
--> Epoch 205: loss 1.1902; accuracy: 0.6381; best accuracy: 0.6531
--> Epoch 206: loss 0.8209; accuracy: 0.6135; best accuracy: 0.6531
--> Epoch 207: loss 0.9504; accuracy: 0.5803; best accuracy: 0.6531
