--> Epoch 80: loss 1.4368; accuracy: 0.5056; best accuracy: 0.5167
--> Epoch 81: loss 1.4387; accuracy: 0.5278; best accuracy: 0.5278
--> Epoch 82: loss 1.4686; accuracy: 0.5111; best accuracy: 0.5278
--> Epoch 83: loss 1.5859; accuracy: 0.5167; best accuracy: 0.5278
--> Epoch 84: loss 1.3411; accuracy: 0.5056; best accuracy: 0.5278
--> Epoch 85: loss 1.5010; accuracy: 0.4944; best accuracy: 0.5278
--> Epoch 86: loss 1.4455; accuracy: 0.5222; best accuracy: 0.5278
--> Epoch 87: loss 1.5649; accuracy: 0.5222; best accuracy: 0.5278
--> Epoch 88: loss 1.4017; accuracy: 0.4667; best accuracy: 0.5278
--> Epoch 89: loss 1.4696; accuracy: 0.5111; best accuracy: 0.5278
--> Epoch 90: loss 1.4145; accuracy: 0.4556; best accuracy: 0.5278
--> Epoch 91: loss 1.4770; accuracy: 0.5000; best accuracy: 0.5278
--> Epoch 92: loss 1.4935; accuracy: 0.5111; best accuracy: 0.5278
--> Epoch 93: loss 1.4408; accuracy: 0.5111; best accuracy: 0.5278
--> Epoch 94: loss 1.4119; accuracy: 0.4889; best accuracy: 0.5278
--> Epoch 95: loss 1.5189; accuracy: 0.4944; best accuracy: 0.5278
--> Epoch 96: loss 1.3396; accuracy: 0.4944; best accuracy: 0.5278
--> Epoch 97: loss 1.4043; accuracy: 0.5389; best accuracy: 0.5389
--> Epoch 98: loss 1.4472; accuracy: 0.4889; best accuracy: 0.5389
--> Epoch 99: loss 1.4412; accuracy: 0.4722; best accuracy: 0.5389
--> Epoch 100: loss 1.3389; accuracy: 0.5444; best accuracy: 0.5444
--> Epoch 101: loss 1.3514; accuracy: 0.5444; best accuracy: 0.5444
--> Epoch 102: loss 1.3501; accuracy: 0.5389; best accuracy: 0.5444
--> Epoch 103: loss 1.3353; accuracy: 0.5278; best accuracy: 0.5444
--> Epoch 104: loss 1.5065; accuracy: 0.5333; best accuracy: 0.5444
--> Epoch 105: loss 1.3979; accuracy: 0.5333; best accuracy: 0.5444
--> Epoch 106: loss 1.3031; accuracy: 0.5667; best accuracy: 0.5667
--> Epoch 107: loss 1.3497; accuracy: 0.5667; best accuracy: 0.5667
--> Epoch 108: loss 1.2864; accuracy: 0.5444; best accuracy: 0.5667
--> Epoch 109: loss 1.3438; accuracy: 0.5667; best accuracy: 0.5667
--> Epoch 110: loss 1.4871; accuracy: 0.5722; best accuracy: 0.5722
--> Epoch 111: loss 1.3578; accuracy: 0.5778; best accuracy: 0.5778
--> Epoch 112: loss 1.3232; accuracy: 0.5889; best accuracy: 0.5889
--> Epoch 113: loss 1.4285; accuracy: 0.5444; best accuracy: 0.5889
--> Epoch 114: loss 1.5064; accuracy: 0.5556; best accuracy: 0.5889
--> Epoch 115: loss 1.2909; accuracy: 0.5056; best accuracy: 0.5889
--> Epoch 116: loss 1.4625; accuracy: 0.5333; best accuracy: 0.5889
--> Epoch 117: loss 1.2393; accuracy: 0.5833; best accuracy: 0.5889
--> Epoch 118: loss 1.3202; accuracy: 0.5556; best accuracy: 0.5889
--> Epoch 119: loss 1.5461; accuracy: 0.5722; best accuracy: 0.5889
--> Epoch 120: loss 1.3528; accuracy: 0.5500; best accuracy: 0.5889
--> Epoch 121: loss 1.4586; accuracy: 0.5778; best accuracy: 0.5889
--> Epoch 122: loss 1.4187; accuracy: 0.5556; best accuracy: 0.5889
--> Epoch 123: loss 1.3160; accuracy: 0.5722; best accuracy: 0.5889
--> Epoch 124: loss 1.3680; accuracy: 0.5000; best accuracy: 0.5889
--> Epoch 125: loss 1.4184; accuracy: 0.5444; best accuracy: 0.5889
--> Epoch 126: loss 1.3090; accuracy: 0.5444; best accuracy: 0.5889
--> Epoch 127: loss 1.2493; accuracy: 0.5611; best accuracy: 0.5889
--> Epoch 128: loss 1.4962; accuracy: 0.5056; best accuracy: 0.5889
--> Epoch 129: loss 1.2885; accuracy: 0.5722; best accuracy: 0.5889
--> Epoch 130: loss 1.3768; accuracy: 0.5889; best accuracy: 0.5889
--> Epoch 131: loss 1.3361; accuracy: 0.5667; best accuracy: 0.5889
--> Epoch 132: loss 1.2829; accuracy: 0.5667; best accuracy: 0.5889
--> Epoch 133: loss 1.3121; accuracy: 0.5667; best accuracy: 0.5889
--> Epoch 134: loss 1.3034; accuracy: 0.5833; best accuracy: 0.5889
--> Epoch 135: loss 1.4638; accuracy: 0.6056; best accuracy: 0.6056
--> Epoch 136: loss 1.2513; accuracy: 0.6056; best accuracy: 0.6056
--> Epoch 137: loss 1.2164; accuracy: 0.5278; best accuracy: 0.6056
--> Epoch 138: loss 1.2248; accuracy: 0.6000; best accuracy: 0.6056
--> Epoch 139: loss 1.3967; accuracy: 0.5833; best accuracy: 0.6056
--> Epoch 140: loss 1.3617; accuracy: 0.6000; best accuracy: 0.6056
--> Epoch 141: loss 1.3175; accuracy: 0.6333; best accuracy: 0.6333
--> Epoch 142: loss 1.3777; accuracy: 0.6222; best accuracy: 0.6333
--> Epoch 143: loss 1.2360; accuracy: 0.5444; best accuracy: 0.6333
--> Epoch 144: loss 1.3345; accuracy: 0.6444; best accuracy: 0.6444
--> Epoch 145: loss 1.2755; accuracy: 0.6222; best accuracy: 0.6444
--> Epoch 146: loss 1.3363; accuracy: 0.6111; best accuracy: 0.6444
--> Epoch 147: loss 1.5201; accuracy: 0.6167; best accuracy: 0.6444
--> Epoch 148: loss 1.2917; accuracy: 0.5333; best accuracy: 0.6444
--> Epoch 149: loss 1.4017; accuracy: 0.5333; best accuracy: 0.6444
--> Epoch 150: loss 1.3375; accuracy: 0.6111; best accuracy: 0.6444
--> Epoch 151: loss 1.4081; accuracy: 0.5000; best accuracy: 0.6444
--> Epoch 152: loss 1.2910; accuracy: 0.6222; best accuracy: 0.6444
--> Epoch 153: loss 1.3193; accuracy: 0.5722; best accuracy: 0.6444
--> Epoch 154: loss 1.2470; accuracy: 0.6333; best accuracy: 0.6444
--> Epoch 155: loss 1.4215; accuracy: 0.5833; best accuracy: 0.6444
--> Epoch 156: loss 1.3404; accuracy: 0.6000; best accuracy: 0.6444
--> Epoch 157: loss 1.1953; accuracy: 0.6000; best accuracy: 0.6444
--> Epoch 158: loss 1.2988; accuracy: 0.6111; best accuracy: 0.6444
--> Epoch 159: loss 1.2206; accuracy: 0.5500; best accuracy: 0.6444
--> Epoch 160: loss 1.1972; accuracy: 0.6333; best accuracy: 0.6444
--> Epoch 161: loss 1.1843; accuracy: 0.6056; best accuracy: 0.6444
--> Epoch 162: loss 1.2024; accuracy: 0.6333; best accuracy: 0.6444
--> Epoch 163: loss 1.3259; accuracy: 0.5889; best accuracy: 0.6444
--> Epoch 164: loss 1.2410; accuracy: 0.6389; best accuracy: 0.6444
--> Epoch 165: loss 1.4001; accuracy: 0.6333; best accuracy: 0.6444
--> Epoch 166: loss 1.1852; accuracy: 0.6056; best accuracy: 0.6444
--> Epoch 167: loss 1.2041; accuracy: 0.6278; best accuracy: 0.6444
--> Epoch 168: loss 1.2808; accuracy: 0.6111; best accuracy: 0.6444
--> Epoch 169: loss 1.2267; accuracy: 0.6167; best accuracy: 0.6444
--> Epoch 170: loss 1.2340; accuracy: 0.5611; best accuracy: 0.6444
--> Epoch 171: loss 1.3812; accuracy: 0.6333; best accuracy: 0.6444
--> Epoch 172: loss 1.2485; accuracy: 0.6500; best accuracy: 0.6500
--> Epoch 173: loss 1.2148; accuracy: 0.5667; best accuracy: 0.6500
--> Epoch 174: loss 1.1386; accuracy: 0.6056; best accuracy: 0.6500
--> Epoch 175: loss 1.2359; accuracy: 0.6444; best accuracy: 0.6500
--> Epoch 176: loss 1.1795; accuracy: 0.6556; best accuracy: 0.6556
--> Epoch 177: loss 1.1049; accuracy: 0.6500; best accuracy: 0.6556
--> Epoch 178: loss 1.2162; accuracy: 0.6500; best accuracy: 0.6556
--> Epoch 179: loss 1.3170; accuracy: 0.6667; best accuracy: 0.6667
--> Epoch 180: loss 1.2843; accuracy: 0.6167; best accuracy: 0.6667
--> Epoch 181: loss 1.1627; accuracy: 0.5722; best accuracy: 0.6667
--> Epoch 182: loss 1.1696; accuracy: 0.6222; best accuracy: 0.6667
--> Epoch 183: loss 1.2401; accuracy: 0.6167; best accuracy: 0.6667
--> Epoch 184: loss 1.1957; accuracy: 0.6500; best accuracy: 0.6667
--> Epoch 185: loss 1.3916; accuracy: 0.6000; best accuracy: 0.6667
--> Epoch 186: loss 1.2477; accuracy: 0.6389; best accuracy: 0.6667
--> Epoch 187: loss 1.3166; accuracy: 0.6333; best accuracy: 0.6667
--> Epoch 188: loss 1.0681; accuracy: 0.6278; best accuracy: 0.6667
--> Epoch 189: loss 1.4065; accuracy: 0.6278; best accuracy: 0.6667
--> Epoch 190: loss 1.2292; accuracy: 0.6278; best accuracy: 0.6667
