--> Epoch 80: loss 1.8973; accuracy: 0.2889; best accuracy: 0.4056
--> Epoch 81: loss 1.6960; accuracy: 0.3278; best accuracy: 0.4056
--> Epoch 82: loss 1.8656; accuracy: 0.3111; best accuracy: 0.4056
--> Epoch 83: loss 1.6803; accuracy: 0.3000; best accuracy: 0.4056
--> Epoch 84: loss 1.7171; accuracy: 0.2667; best accuracy: 0.4056
--> Epoch 85: loss 1.7543; accuracy: 0.2889; best accuracy: 0.4056
--> Epoch 86: loss 1.7215; accuracy: 0.2944; best accuracy: 0.4056
--> Epoch 87: loss 1.7660; accuracy: 0.3556; best accuracy: 0.4056
--> Epoch 88: loss 1.7403; accuracy: 0.3944; best accuracy: 0.4056
--> Epoch 89: loss 1.7216; accuracy: 0.4056; best accuracy: 0.4056
--> Epoch 90: loss 1.7701; accuracy: 0.2889; best accuracy: 0.4056
--> Epoch 91: loss 1.9601; accuracy: 0.3667; best accuracy: 0.4056
--> Epoch 92: loss 1.7115; accuracy: 0.3333; best accuracy: 0.4056
--> Epoch 93: loss 2.0196; accuracy: 0.3056; best accuracy: 0.4056
--> Epoch 94: loss 1.7964; accuracy: 0.3167; best accuracy: 0.4056
--> Epoch 95: loss 1.6742; accuracy: 0.2889; best accuracy: 0.4056
--> Epoch 96: loss 2.2473; accuracy: 0.3222; best accuracy: 0.4056
--> Epoch 97: loss 1.6702; accuracy: 0.3389; best accuracy: 0.4056
--> Epoch 98: loss 1.7709; accuracy: 0.4111; best accuracy: 0.4111
--> Epoch 99: loss 1.9350; accuracy: 0.2667; best accuracy: 0.4111
--> Epoch 100: loss 1.8208; accuracy: 0.3000; best accuracy: 0.4111
--> Epoch 101: loss 1.7686; accuracy: 0.3167; best accuracy: 0.4111
--> Epoch 102: loss 1.8506; accuracy: 0.3056; best accuracy: 0.4111
--> Epoch 103: loss 1.7727; accuracy: 0.3056; best accuracy: 0.4111
--> Epoch 104: loss 1.8170; accuracy: 0.2778; best accuracy: 0.4111
--> Epoch 105: loss 1.7972; accuracy: 0.2889; best accuracy: 0.4111
--> Epoch 106: loss 1.8689; accuracy: 0.3444; best accuracy: 0.4111
--> Epoch 107: loss 1.7726; accuracy: 0.3444; best accuracy: 0.4111
--> Epoch 108: loss 1.6690; accuracy: 0.2778; best accuracy: 0.4111
--> Epoch 109: loss 1.8772; accuracy: 0.3056; best accuracy: 0.4111
--> Epoch 110: loss 1.7185; accuracy: 0.3389; best accuracy: 0.4111
--> Epoch 111: loss 1.8309; accuracy: 0.3389; best accuracy: 0.4111
--> Epoch 112: loss 1.9273; accuracy: 0.3500; best accuracy: 0.4111
--> Epoch 113: loss 1.6992; accuracy: 0.3611; best accuracy: 0.4111
--> Epoch 114: loss 1.7194; accuracy: 0.3889; best accuracy: 0.4111
--> Epoch 115: loss 1.4656; accuracy: 0.3111; best accuracy: 0.4111
--> Epoch 116: loss 1.7127; accuracy: 0.3833; best accuracy: 0.4111
--> Epoch 117: loss 1.7365; accuracy: 0.3611; best accuracy: 0.4111
--> Epoch 118: loss 1.9565; accuracy: 0.3167; best accuracy: 0.4111
--> Epoch 119: loss 1.7343; accuracy: 0.3222; best accuracy: 0.4111
--> Epoch 120: loss 1.5842; accuracy: 0.3611; best accuracy: 0.4111
--> Epoch 121: loss 1.5988; accuracy: 0.3333; best accuracy: 0.4111
--> Epoch 122: loss 1.6275; accuracy: 0.3889; best accuracy: 0.4111
--> Epoch 123: loss 1.8272; accuracy: 0.3833; best accuracy: 0.4111
--> Epoch 124: loss 1.8277; accuracy: 0.3500; best accuracy: 0.4111
--> Epoch 125: loss 1.8115; accuracy: 0.3667; best accuracy: 0.4111
--> Epoch 126: loss 1.5155; accuracy: 0.3833; best accuracy: 0.4111
--> Epoch 127: loss 1.5387; accuracy: 0.3500; best accuracy: 0.4111
--> Epoch 128: loss 1.9327; accuracy: 0.3556; best accuracy: 0.4111
--> Epoch 129: loss 1.7730; accuracy: 0.3611; best accuracy: 0.4111
--> Epoch 130: loss 1.8224; accuracy: 0.3444; best accuracy: 0.4111
--> Epoch 131: loss 1.9643; accuracy: 0.3444; best accuracy: 0.4111
--> Epoch 132: loss 1.6657; accuracy: 0.3778; best accuracy: 0.4111
--> Epoch 133: loss 1.8357; accuracy: 0.3722; best accuracy: 0.4111
--> Epoch 134: loss 1.6525; accuracy: 0.3056; best accuracy: 0.4111
--> Epoch 135: loss 1.9273; accuracy: 0.3444; best accuracy: 0.4111
--> Epoch 136: loss 1.4799; accuracy: 0.3722; best accuracy: 0.4111
--> Epoch 137: loss 1.5226; accuracy: 0.2944; best accuracy: 0.4111
--> Epoch 138: loss 1.7358; accuracy: 0.3500; best accuracy: 0.4111
--> Epoch 139: loss 1.7311; accuracy: 0.3000; best accuracy: 0.4111
