,precision,recall,f1-score,support
Flap / Valve,0.48,0.6666666666666666,0.5581395348837209,54.0
Humidity,0.0,0.0,0.0,16.0
Speed,0.5,0.09090909090909091,0.15384615384615385,44.0
Temperature,0.0,0.0,0.0,25.0
Vdp,0.2978723404255319,0.34146341463414637,0.3181818181818182,41.0
Volume,0.2391304347826087,0.5238095238095238,0.32835820895522383,42.0
accuracy,0.34234234234234234,0.34234234234234234,0.34234234234234234,0.34234234234234234
macro avg,0.2528337958680234,0.2704747826699046,0.2264209526444861,222.0
weighted avg,0.3161092081906143,0.34234234234234234,0.28714083321858397,222.0
