,precision,recall,f1-score,support
Flap / Valve,0.625,0.5,0.5555555555555556,40.0
Humidity,0.0,0.0,0.0,26.0
Speed,0.2446043165467626,0.7906976744186046,0.37362637362637363,43.0
Temperature,0.0,0.0,0.0,21.0
Vdp,0.5,0.043478260869565216,0.08,23.0
Volume,0.0,0.0,0.0,25.0
accuracy,0.3089887640449438,0.3089887640449438,0.3089887640449438,0.3089887640449438
macro avg,0.2282673860911271,0.22236265588136164,0.16819698819698822,178.0
weighted avg,0.26414598658152133,0.3089887640449438,0.22543908027054096,178.0
