,precision,recall,f1-score,support
Flap / Valve,0.7105263157894737,0.5,0.5869565217391304,54.0
Humidity,0.5,0.0625,0.1111111111111111,16.0
Speed,0.6,0.06818181818181818,0.1224489795918367,44.0
Temperature,0.0,0.0,0.0,25.0
Vdp,0.23030303030303031,0.926829268292683,0.36893203883495146,41.0
Volume,0.3333333333333333,0.07142857142857142,0.11764705882352941,42.0
accuracy,0.32432432432432434,0.32432432432432434,0.32432432432432434,0.32432432432432434
macro avg,0.39569377990430626,0.27148994298384543,0.21784928501675985,222.0
weighted avg,0.4333821860137649,0.32432432432432434,0.2654440320565445,222.0
