,precision,recall,f1-score,support
Operating,0.69,0.8518518518518519,0.7624309392265193,81.0
Speed,0.9655172413793104,0.9032258064516129,0.9333333333333333,93.0
Temperature,0.8461538461538461,0.9565217391304348,0.8979591836734695,92.0
Valve,0.9454545454545454,0.65,0.7703703703703704,80.0
accuracy,0.846820809248555,0.846820809248555,0.846820809248555,0.846820809248555
macro avg,0.8617814082469255,0.8403998493584749,0.8410234566509232,346.0
weighted avg,0.8646405229213681,0.846820809248555,0.8462392503032858,346.0
