,precision,recall,f1-score,support
EHA,0.0,0.0,0.0,32.0
HR,0.0,0.0,0.0,21.0
ODA,0.6624203821656051,1.0,0.7969348659003832,104.0
accuracy,0.6624203821656051,0.6624203821656051,0.6624203821656051,0.6624203821656051
macro avg,0.22080679405520168,0.3333333333333333,0.2656449553001277,157.0
weighted avg,0.4388007627084263,0.6624203821656051,0.527905898430827,157.0
