,precision,recall,f1-score,support
Flap / Valve,0.622641509433962,0.825,0.709677419354839,40
Humidity,0.740740740740741,0.769230769230769,0.754716981132075,26
Speed,0.695652173913043,0.744186046511628,0.719101123595506,43
Temperature,0.714285714285714,0.476190476190476,0.571428571428571,21
Vdp,0.2,0.173913043478261,0.186046511627907,23
Volume,0.166666666666667,0.12,0.13953488372093,25
accuracy,0.573033707865169,0.573033707865169,0.573033707865169,0.573033707865169
macro avg,0.523331134173355,0.518086722568522,0.513417581809971,178
weighted avg,0.549688931356996,0.573033707865169,0.554486114936513,178
