time,ADS.fAHUFanSUPSpeedActADSInternalValuesMirror,ADS.fAHUTempEHAADSInternalValuesMirror,ADS.fAHUTempETAADSInternalValuesMirror,ADS.fAHUTempODAADSInternalValuesMirror,ADS.fAHUTempSUPADSInternalValuesMirror,ADS.fAHUPHValveActADSInternalValuesMirror,ADS.fAHURHValveActADSInternalValuesMirror,ADS.bAHUPHPumpOperatingADSInternalValuesMirror
2023-11-01T00:00:00Z,59.99080900712447,14.326464691547432,18.58545459400524,11.255959732363923,19.379292073875966,0.0,0.0,0.0
2023-11-01T00:15:00Z,59.99290946960449,14.332799987792969,18.573899784088134,11.252600059509277,19.380599689483642,0.0,0.0,0.0
2023-11-01T00:30:00Z,59.98843654632569,14.324599800109864,18.567399635314942,11.241700067520142,19.354000091552734,0.0,0.0,0.0
2023-11-01T00:45:00Z,59.996864852905276,14.29590009689331,18.547299690246582,11.205799942016602,19.345800285339354,0.0,0.0,0.0
2023-11-01T01:00:00Z,60.0,14.266565977925001,18.570100707237167,11.17656582533711,19.339293065697255,0.0,0.0,0.0
2023-11-01T01:15:00Z,59.98842109680176,14.250500011444093,18.54800033569336,11.114099826812744,19.33580005645752,0.0,0.0,0.0
2023-11-01T01:30:00Z,60.0,14.165000095367432,18.53720085144043,10.956000261306762,19.31189950942993,0.0,0.0,0.0
2023-11-01T01:45:00Z,59.99417331695557,14.150707215973824,18.52666727701823,11.003535492251618,19.289898515951755,0.0,0.0,0.0
2023-11-01T02:00:00Z,59.99163028717041,14.228000001907349,18.532100734710692,11.10280014038086,19.292599582672118,0.0,0.0,0.0
2023-11-01T02:15:00Z,59.97340782165527,14.303400011062623,18.530600700378418,11.142600212097168,19.316099605560304,0.0,0.0,0.0
2023-11-01T02:30:00Z,60.0,14.310200157165527,18.51210027694702,11.09470025062561,19.33099994659424,0.0,0.0,0.0
2023-11-01T02:45:00Z,60.0,14.319191855613632,18.532020934904466,11.17212121173589,19.338686991219568,0.0,0.0,0.0
2023-11-01T03:00:00Z,59.98843784143429,14.387499837875366,18.52930067062378,11.344500122070313,19.358600578308106,0.0,0.0,0.0
2023-11-01T03:15:00Z,59.98824188232422,14.488700046539307,18.518000411987305,11.532100191116333,19.364099674224853,0.0,0.0,0.0
2023-11-01T03:30:00Z,60.0,14.598099994659425,18.52200050354004,11.73049991607666,19.368099250793456,0.0,0.0,0.0
2023-11-01T03:45:00Z,60.0,14.685656547546387,18.542626737344143,11.861717175955723,19.38616091795642,0.0,0.0,0.0
2023-11-01T04:00:00Z,59.98472396850586,14.754600172042847,18.538700370788575,11.945499897003174,19.412699909210204,0.0,0.0,0.0
2023-11-01T04:15:00Z,59.99588108062744,14.782900114059448,18.5354008102417,12.00670015335083,19.427400245666504,0.0,0.0,0.0
2023-11-01T04:30:00Z,59.980965576171876,14.790706856082185,18.535151818786005,11.957373522748851,19.43000030517578,0.0,0.0,0.0
2023-11-01T04:45:00Z,60.0,14.762700290679932,18.57339977264404,11.914599952697754,19.449399337768554,0.0,0.0,0.0
2023-11-01T05:00:00Z,59.98467686200383,14.757399911880492,18.55589937210083,11.890399913787842,19.440000400543212,0.0,0.0,0.0
2023-11-01T05:15:00Z,59.97581428527832,14.715800046920776,18.55599937438965,11.805500183105469,19.43000030517578,0.0,0.0,0.0
2023-11-01T05:30:00Z,60.0,14.683700208663941,18.567899646759034,11.76239984512329,19.419300060272217,0.0,0.0,0.0
2023-11-01T05:45:00Z,59.984568663317745,14.669394001816258,18.54656570126312,11.77202026290123,19.42393956039891,0.0,0.0,0.0
2023-11-01T06:00:00Z,59.98682958772867,14.68270010948181,18.526600608825685,11.817499952316284,19.407899799346925,0.0,0.0,0.0
2023-11-01T06:15:00Z,59.97916679382324,14.695199890136719,18.503900089263915,11.84049991607666,19.39239944458008,0.0,0.0,0.0
2023-11-01T06:30:00Z,59.96328266143799,14.710199975967408,18.50800018310547,11.91199975013733,19.375499057769776,0.0,0.0,0.0
2023-11-01T06:45:00Z,59.973141021728516,14.736565609170933,18.48868660974984,11.997373484601878,19.369999432804608,0.0,0.0,0.0
2023-11-01T07:00:00Z,60.0,14.806039489141785,18.462078339982742,12.146435633744344,19.355445918470327,0.0,0.0,0.0
2023-11-01T07:15:00Z,59.9800309753418,14.910899925231934,18.467499771118163,12.302999992370605,19.355400371551514,0.3,0.0,0.02
2023-11-01T07:30:00Z,60.0,15.016300048828125,18.50730016708374,12.42839994430542,19.3886993598938,0.0,0.0,0.0
2023-11-01T07:45:00Z,59.97602336883545,15.122999753952026,18.511400260925292,12.586499996185303,19.4214001083374,0.0,0.0,0.0
2023-11-01T08:00:00Z,60.0,15.200299873352051,18.544700260162355,12.675600137710571,19.46019920349121,0.0,0.0,0.0
2023-11-01T08:15:00Z,60.0,15.25740029335022,18.564700088500977,12.760999813079835,19.481599578857423,0.0,0.0,0.0
2023-11-01T08:30:00Z,60.0,15.227800006866454,18.58720008850098,12.69459994316101,19.51460033416748,0.0,0.0,0.0
2023-11-01T08:45:00Z,60.0,15.218600044250488,18.58410001754761,12.702699680328369,19.502000045776366,0.0,0.0,0.0
2023-11-01T09:00:00Z,59.982518653869626,15.334000129699707,18.5906001663208,12.98600001335144,19.518000411987305,0.0,0.0,0.0
2023-11-01T09:15:00Z,59.982518653869626,15.41479995727539,18.60690040588379,13.053300142288208,19.545399379730224,0.0,0.0,0.0
2023-11-01T09:30:00Z,59.981211280822755,15.444200115203857,18.656199760437012,13.076100025177002,19.584200019836427,0.0,0.0,0.0
