time,ADS.fAHUCOValveActADSInternalValuesMirror,ADS.fAHUCOValveSetADSInternalValuesMirror
2023-06-05T00:00:00Z,30.892056045532225,0.0
2023-06-05T00:15:00Z,30.90914653778076,0.0
2023-06-05T00:30:00Z,30.88930938720703,0.0
2023-06-05T00:45:00Z,30.896023445129394,0.0
2023-06-05T01:00:00Z,30.918912391662598,0.0
2023-06-05T01:15:00Z,30.89419237136841,0.0
2023-06-05T01:30:00Z,30.87801753997803,0.0
2023-06-05T01:45:00Z,30.899380569458007,0.0
2023-06-05T02:00:00Z,30.90182195663452,0.0
2023-06-05T02:15:00Z,30.91067247390747,0.0
2023-06-05T02:30:00Z,30.87313461303711,0.0
2023-06-05T02:45:00Z,30.896328659057616,0.0
2023-06-05T03:00:00Z,30.916776065826415,0.0
2023-06-05T03:15:00Z,30.896633853912352,0.0
2023-06-05T03:30:00Z,30.92776273727417,0.0
2023-06-05T03:45:00Z,30.916165771484376,0.0
2023-06-05T04:00:00Z,30.916165657043457,0.0
2023-06-05T04:15:00Z,30.89693910598755,0.0
2023-06-05T04:30:00Z,30.900296096801757,0.0
2023-06-05T04:45:00Z,30.897244205474852,0.0
2023-06-05T05:00:00Z,30.92501609802246,0.0
2023-06-05T05:15:00Z,30.899990882873535,0.0
2023-06-05T05:30:00Z,30.90212724685669,0.0
2023-06-05T05:45:00Z,30.919827938079834,0.0
2023-06-05T06:00:00Z,30.881679782867433,0.0
2023-06-05T06:15:00Z,30.90884126663208,0.0
2023-06-05T06:30:00Z,30.898159790039063,0.0
2023-06-05T06:45:00Z,30.891445751190187,0.0
2023-06-05T07:00:00Z,30.904568824768067,0.0
2023-06-05T07:15:00Z,30.91067237854004,0.0
2023-06-05T07:30:00Z,30.872829456329345,0.0
2023-06-05T07:45:00Z,30.904568672180176,0.0
2023-06-05T08:00:00Z,30.903347930908204,0.0
2023-06-05T08:15:00Z,30.896633949279785,0.0
2023-06-05T08:30:00Z,30.872524223327638,0.0
2023-06-05T08:45:00Z,30.8914457321167,0.0
2023-06-05T09:00:00Z,30.86977756500244,0.0
2023-06-05T09:15:00Z,30.879543514251708,0.0
2023-06-05T09:30:00Z,30.902127227783204,0.0
2023-06-05T09:45:00Z,30.90456869125366,0.0
2023-06-05T10:00:00Z,30.891140518188475,0.0
2023-06-05T10:15:00Z,30.89999086380005,0.0
2023-06-05T10:30:00Z,30.8798486328125,0.0
2023-06-05T10:45:00Z,30.89877016067505,0.0
2023-06-05T11:00:00Z,30.910672340393067,0.0
2023-06-05T11:15:00Z,30.922269439697267,0.0
2023-06-05T11:30:00Z,30.88900417327881,0.0
2023-06-05T11:45:00Z,30.901822090148926,0.0
2023-06-05T12:00:00Z,30.90304277420044,0.0
2023-06-05T12:15:00Z,30.909756832122802,0.0
2023-06-05T12:30:00Z,30.89266632080078,0.0
2023-06-05T12:45:00Z,30.882900562286377,0.0
2023-06-05T13:00:00Z,30.862147960662842,0.0
2023-06-05T13:15:00Z,30.88686794281006,0.0
2023-06-05T13:30:00Z,30.889004249572753,0.0
2023-06-05T13:45:00Z,30.884426441192627,0.0
2023-06-05T14:00:00Z,30.88869909286499,0.0
2023-06-05T14:15:00Z,30.873744983673095,0.0
2023-06-05T14:30:00Z,30.880764198303222,0.0
2023-06-05T14:45:00Z,30.861232471466064,0.0
2023-06-05T15:00:00Z,30.864284229278564,0.0
2023-06-05T15:15:00Z,30.885342082977296,0.0
2023-06-05T15:30:00Z,30.886915556881405,0.0
2023-06-05T15:45:00Z,30.885342025756835,0.0
2023-06-05T16:00:00Z,30.88900421142578,0.0
2023-06-05T16:15:00Z,30.876491641998292,0.0
2023-06-05T16:30:00Z,37.800683422088625,18.11977310180664
2023-06-05T16:45:00Z,53.57749420166016,63.671644134521486
2023-06-05T17:00:00Z,54.84389801025391,65.20041778564453
2023-06-05T17:15:00Z,53.149205169677735,62.69659034729004
2023-06-05T17:30:00Z,52.13431198120117,62.19104183197022
2023-06-05T17:45:00Z,52.00521858215332,62.03652729034424
2023-06-05T18:00:00Z,51.55781734466553,61.498881034851074
2023-06-05T18:15:00Z,51.123844680786135,61.19201831817627
2023-06-05T18:30:00Z,51.257210426330566,61.87185718536377
2023-06-05T18:45:00Z,51.17816764831543,61.54415328979492
2023-06-05T19:00:00Z,51.10431293487549,61.82569934844971
2023-06-05T19:15:00Z,47.240325946807864,48.463203773498535
2023-06-05T19:30:00Z,38.53953681945801,25.243705825805662
2023-06-05T19:45:00Z,53.20440572738647,59.455508422851565
2023-06-05T20:00:00Z,30.943937587738038,0.42459453582763673
2023-06-05T20:15:00Z,50.49802413940429,61.456850395202636
2023-06-05T20:30:00Z,32.88258768081665,3.7301951599121095
2023-06-05T20:45:00Z,30.957365703582763,0.0
2023-06-05T21:00:00Z,30.96560573577881,0.0
2023-06-05T21:15:00Z,30.946073875427246,0.0
2023-06-05T21:30:00Z,30.936613159179686,0.0
2023-06-05T21:45:00Z,30.92989902496338,0.0
2023-06-05T22:00:00Z,30.953093090057372,0.0
2023-06-05T22:15:00Z,30.928983459472658,0.0
2023-06-05T22:30:00Z,30.91830211639404,0.0
2023-06-05T22:45:00Z,30.948820533752443,0.0
2023-06-05T23:00:00Z,30.965300521850587,0.0
