time,ADS.fAHUHRBypValveSetADSInternalValuesMirror,ADS.fAHUHRBypValveAct1ADSInternalValuesMirror,ADS.fAHUPHValveSetADSInternalValuesMirror,ADS.fAHUPHValveActADSInternalValuesMirror,ADS.eAHUPHPumpContModeADSInternalValuesMirror,ADS.bAHUPHPumpErrorADSInternalValuesMirror,ADS.fAHUPHPumpSpeedADSInternalValuesMirror,ADS.fAHUPHPumpVolFlowADSInternalValuesMirror,ADS.fAHUPHTempSupPrimADSInternalValuesMirror,ADS.fAHUPHTempRetPrimADSInternalValuesMirror,ADS.fAHUTempEHAADSInternalValuesMirror,ADS.fAHUHumEHAADSInternalValuesMirror,ADS.fAHUFlapEHAActADSInternalValuesMirror,ADS.fAHUFlapEHASetADSInternalValuesMirror,ADS.fAHUFlapODAActADSInternalValuesMirror,ADS.fAHUFlapODASetADSInternalValuesMirror,ADS.fAHUTempODAADSInternalValuesMirror,ADS.fAHUHumODAADSInternalValuesMirror
2022-11-01T00:00:00Z,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,83.77565188200577,81.6939128709876,18.415477901956308,64.09826023267664,99.61000061035156,100.0,99.61000061035156,100.0,16.963652420043946,73.41391322923744
2022-11-01T00:15:00Z,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,79.03103433806321,76.56724127407732,18.275000506433948,65.35689649910762,99.61000061035156,100.0,99.61000061035156,100.0,16.764655442073426,75.20517270318393
2022-11-01T00:30:00Z,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,71.65862076857994,69.19913791788035,18.15715525068086,66.5146536991514,99.61000061035156,100.0,99.61000061035156,100.0,16.629310591467494,76.44224304988467
2022-11-01T00:45:00Z,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,72.35862087381297,70.279310489523,18.03431093281713,67.67241306962639,99.61000061035156,100.0,99.61000061035156,100.0,16.484223776850207,77.58448133797481
2022-11-01T01:00:00Z,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,83.18017229540595,80.76810310626853,17.98275827539378,68.44741347740437,99.61000061035156,100.0,99.61000061035156,100.0,16.42232743624983,78.30689640702873
2022-11-01T01:15:00Z,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,75.33771943209464,72.8798245212488,17.90736820823268,69.3500004818565,99.61000061035156,100.0,99.61000061035156,100.0,16.327631448444567,79.47631615086605
2022-11-01T01:30:00Z,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,68.4974362626035,66.06752144577156,17.82316287766155,70.3102565667568,99.61000061035156,100.0,99.61000061035156,100.0,16.216923037145893,80.48375982300848
2022-11-01T01:45:00Z,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,81.67478246274202,79.66782611349355,17.7728700886602,70.98782554294752,99.61000061035156,100.0,99.61000061035156,100.0,16.206174137281334,80.86434989597487
2022-11-01T02:00:00Z,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,81.10869551948879,78.62608675749405,17.782261607957924,71.3478271484375,99.61000061035156,100.0,99.61000061035156,100.0,16.216086230070694,80.80782901929773
2022-11-01T02:15:00Z,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,73.37391291079314,70.90347827413808,17.764348154482633,71.75043480914572,99.61000061035156,100.0,99.61000061035156,100.0,16.19147828143576,81.02347790261973
2022-11-01T02:30:00Z,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,67.84529876708984,65.56495718670706,17.765258969931768,72.005128126878,99.61000061035156,100.0,99.61000061035156,100.0,16.194914439628864,80.93077028714694
2022-11-01T02:45:00Z,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,84.14956519085428,81.99739141049592,17.793391617484716,72.01810317203916,99.61000061035156,100.0,99.61000061035156,100.0,16.265304233716883,80.42241504274566
2022-11-01T03:00:00Z,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,78.43739126454228,75.96956535007642,17.909122902050353,71.60521711266558,99.61000061035156,100.0,99.61000061035156,100.0,16.42780705502159,79.41217445705247
2022-11-01T03:15:00Z,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,71.04260857623557,68.56782604715099,17.933652098282522,71.40956659731657,99.61000061035156,100.0,99.61000061035156,100.0,16.42295633398968,78.9304342518682
2022-11-01T03:30:00Z,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,72.73130440090013,70.66869546641475,17.97226033418075,71.02844823639968,99.61000061035156,100.0,99.61000061035156,100.0,16.4961738254713,77.94913804942163
2022-11-01T03:45:00Z,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,83.5504346764606,81.14173928965693,17.950260908707328,70.80260898755944,99.61000061035156,100.0,99.61000061035156,100.0,16.46382593901261,77.6834781812585
2022-11-01T04:00:00Z,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,75.18205124292618,72.70427364773221,17.89344828704308,70.81025787092682,99.61000061035156,100.0,99.61000061035156,100.0,16.35474099784062,77.94188083746495
2022-11-01T04:15:00Z,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,67.98869536026665,65.53478244283924,17.846782402370287,70.68086872930112,99.61000061035156,100.0,99.61000061035156,100.0,16.29921702509341,76.60869392726732
2022-11-01T04:30:00Z,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,82.24741383256584,80.1887931166024,17.745258199757544,70.48620710701778,99.61000061035156,100.0,99.61000061035156,100.0,16.155345028844373,76.6836214394405
