time,ADS.fAHUFanETASpeedSetADSInternalValuesMirror,ADS.fAHUFanETASpeedActADSInternalValuesMirror
2022-09-02T00:00:02.645061Z,,54.53992462158203
2022-09-02T00:00:02.661062Z,54.57029342651367,54.53992462158203
2022-09-02T00:00:10.033561Z,54.57029342651367,54.53992462158203
2022-09-02T00:00:10.049563Z,54.508792877197266,54.53992462158203
2022-09-02T00:00:16.755747Z,54.508792877197266,54.53992462158203
2022-09-02T00:00:16.771747Z,54.42918014526367,54.53992462158203
2022-09-02T00:00:23.894855Z,54.42918014526367,54.53992462158203
2022-09-02T00:00:23.913859Z,54.721839904785156,54.53992462158203
2022-09-02T00:00:31.224230Z,54.721839904785156,54.53992462158203
2022-09-02T00:00:31.244231Z,54.79513931274414,54.53992462158203
2022-09-02T00:00:38.632454Z,54.79513931274414,54.53992462158203
2022-09-02T00:00:38.653456Z,54.61459732055664,54.53992462158203
2022-09-02T00:00:45.744051Z,54.61459732055664,54.53992462158203
2022-09-02T00:00:45.760052Z,54.7026252746582,54.53992462158203
2022-09-02T00:00:52.405936Z,54.7026252746582,54.53992462158203
2022-09-02T00:00:52.423938Z,54.724857330322266,54.53992462158203
2022-09-02T00:01:00.003981Z,54.724857330322266,54.53992462158203
2022-09-02T00:01:00.019983Z,54.750160217285156,54.53992462158203
2022-09-02T00:01:06.742081Z,54.750160217285156,54.53992462158203
2022-09-02T00:01:06.758082Z,54.65713882446289,54.53992462158203
2022-09-02T00:01:13.844440Z,54.65713882446289,54.53992462158203
2022-09-02T00:01:13.864439Z,54.5810432434082,54.53992462158203
2022-09-02T00:01:20.670580Z,54.5810432434082,54.53992462158203
2022-09-02T00:01:20.688581Z,54.54410171508789,54.53992462158203
2022-09-02T00:01:27.513781Z,54.54410171508789,54.53992462158203
2022-09-02T00:01:27.532784Z,54.52501678466797,54.53992462158203
2022-09-02T00:01:43.107218Z,54.52501678466797,54.53992462158203
2022-09-02T00:01:43.147220Z,54.41199493408203,54.53992462158203
2022-09-02T00:01:56.069475Z,54.41199493408203,54.53992462158203
2022-09-02T00:01:56.089475Z,54.46346664428711,54.53992462158203
2022-09-02T00:02:04.065674Z,54.46346664428711,54.46308135986328
2022-09-02T00:02:04.085676Z,54.54735565185547,54.46308135986328
2022-09-02T00:02:11.429494Z,54.54735565185547,54.46308135986328
2022-09-02T00:02:11.445499Z,54.581085205078125,54.46308135986328
2022-09-02T00:02:18.323502Z,54.581085205078125,54.46308135986328
2022-09-02T00:02:18.343504Z,54.4010124206543,54.46308135986328
2022-09-02T00:02:25.515717Z,54.4010124206543,54.46308135986328
2022-09-02T00:02:25.531718Z,54.347164154052734,54.46308135986328
2022-09-02T00:02:32.285926Z,54.347164154052734,54.46308135986328
2022-09-02T00:02:32.305922Z,54.620323181152344,54.46308135986328
2022-09-02T00:02:40.442176Z,54.620323181152344,54.46308135986328
2022-09-02T00:02:40.462177Z,54.684844970703125,54.46308135986328
2022-09-02T00:02:47.842191Z,54.684844970703125,54.46308135986328
2022-09-02T00:02:47.862192Z,54.438541412353516,54.46308135986328
2022-09-02T00:02:55.200121Z,54.438541412353516,54.46308135986328
2022-09-02T00:02:55.216122Z,54.4555778503418,54.46308135986328
