time,ADS.fAHUFlapETAActADSInternalValuesMirror,ADS.fAHUFlapETASetADSInternalValuesMirror,ADS.fAHUFanETASpeedActADSInternalValuesMirror,ADS.fAHUFanETASpeedSetADSInternalValuesMirror,ADS.fAHUFanETAVdpActADSInternalValuesMirror,ADS.fAHUFanETAVolFlowActADSInternalValuesMirror,ADS.fAHUTempETAADSInternalValuesMirror,ADS.fAHUHumETAADSInternalValuesMirror
2023-04-14T00:00:00Z,99.61000061035156,100.0,50.0,50.0,436.8019801980198,7243.964147586634,18.650699634552,32.01683142633721
2023-04-14T00:15:00Z,99.61000061035156,100.0,50.0,50.0,437.84,7252.372158203125,18.644355925002902,32.15699977874756
2023-04-14T00:30:00Z,99.59830062866212,100.0,50.0,50.0,436.71,7243.493125,18.67679967880249,32.2130005645752
2023-04-14T00:45:00Z,99.59841647006498,100.0,50.0,50.0,437.2079207920792,7248.7497050974625,18.790990130736095,32.19901064126798
2023-04-14T01:00:00Z,99.59440063476562,100.0,50.0,50.0,435.8,7237.243388671875,18.783300495147706,32.355000495910645
2023-04-14T01:15:00Z,99.61000061035156,100.0,50.0,50.0,434.6930693069307,7228.062137414913,18.791089331749642,32.51881159414159
2023-04-14T01:30:00Z,99.61000061035156,100.0,50.0,50.0,434.25,7225.4562109375,18.81959976196289,32.63899936676025
2023-04-14T01:45:00Z,99.58683232977839,100.0,50.0,50.0,434.73267326732673,7229.7021387685645,18.893564356435643,32.65247492270895
2023-04-14T02:00:00Z,99.59830062866212,100.0,50.0,50.0,434.7,7230.6209716796875,18.995299968719483,32.599998474121094
2023-04-14T02:15:00Z,99.58683232977839,100.0,50.0,50.0,435.74257425742576,7240.487623762377,19.08380012512207,32.52376201365254
2023-04-14T02:30:00Z,99.59830062866212,100.0,50.0,50.0,430.87,7200.9971484375,19.175148652331664,32.37200088500977
2023-04-14T02:45:00Z,99.61000061035156,100.0,50.0,50.0,430.77,7200.6553955078125,19.222699432373048,32.22100044250488
2023-04-14T03:00:00Z,99.61000061035156,100.0,50.0,50.0,432.46534653465346,7215.29301226021,19.25059407300288,32.20000076293945
2023-04-14T03:15:00Z,99.59830062866212,100.0,50.0,50.0,430.42,7198.487041015625,19.280700340270997,32.20000076293945
2023-04-14T03:30:00Z,99.61000061035156,100.0,50.0,50.0,429.91089108910893,7194.942634204826,19.33396022154553,32.179208207838606
2023-04-14T03:45:00Z,99.59830062866212,100.0,50.0,50.0,429.6,7193.535859375,19.43549991607666,32.051999206542966
2023-04-14T04:00:00Z,99.61000061035156,100.0,50.0,50.0,428.9504950495049,7188.8787950572405,19.500400009155275,31.964356299674158
2023-04-14T04:15:00Z,99.61000061035156,100.0,50.0,50.0,430.26,7200.201225585937,19.52396094444955,31.73200029373169
2023-04-14T04:30:00Z,99.61000061035156,100.0,50.0,50.0,429.7920792079208,7196.328985535272,19.52630060195923,31.71600051879883
2023-04-14T04:45:00Z,99.59455508996945,100.0,50.0,50.0,428.43,7184.982275390625,19.53316890603245,31.87425694607272
2023-04-14T05:00:00Z,99.59830062866212,100.0,50.0,50.0,426.47,7168.306596679688,19.52200050354004,32.00299995422363
2023-04-14T05:15:00Z,99.61000061035156,100.0,50.0,50.0,430.56435643564356,7202.149936185025,19.505247644858784,32.15940577440923
2023-04-14T05:30:00Z,99.59830062866212,100.0,50.0,50.0,441.26,7291.091909179688,19.4901997756958,32.244000091552735
2023-04-14T05:45:00Z,99.59455508996945,100.0,50.0,50.0,439.2475247524753,7274.841642172029,19.453762129981918,32.45940637116385
2023-04-14T06:00:00Z,99.61000061035156,100.0,50.0,50.0,438.16,7263.417446289062,19.3191001701355,32.9439998626709
2023-04-14T06:15:00Z,99.59455508996945,100.0,50.0,50.0,440.91089108910893,7285.5293065439355,19.263800315856933,33.407920950710185
2023-04-14T06:30:00Z,99.61000061035156,100.0,50.0,50.0,439.37,7272.357983398438,19.286831921870167,33.723999671936035
2023-04-14T06:45:00Z,99.59440063476562,100.0,50.0,50.0,439.49,7274.505927734375,19.324399795532226,34.097999801635744
2023-04-14T07:00:00Z,99.61000061035156,100.0,50.0,50.0,435.94059405940595,7245.735704478651,19.38217825936799,34.3683176323919
2023-04-14T07:15:00Z,99.59830062866212,100.0,50.0,50.0,439.18,7273.438491210937,19.492000026702883,34.31700042724609
2023-04-14T07:30:00Z,99.61000061035156,100.0,50.0,50.0,437.23762376237624,7259.521919477104,19.621980327190737,33.92871252380976
2023-04-14T07:45:00Z,99.59830062866212,100.0,50.0,50.0,438.53,7271.7146484375,19.74140007019043,33.315999794006345
2023-04-14T08:00:00Z,99.61000061035156,100.0,50.0,50.0,436.7722772277228,7258.607973004332,19.823499851226806,32.29405926241733
2023-04-14T08:15:00Z,99.61000061035156,100.0,50.0,50.0,436.56,7256.96640625,19.873366308684396,31.430000190734862
2023-04-14T08:30:00Z,99.61000061035156,100.0,50.0,50.0,438.2970297029703,7272.725774481745,19.971300048828127,30.764000053405763
2023-04-14T08:45:00Z,99.61000061035156,100.0,50.0,50.0,439.39,7283.588173828125,20.12009907713031,30.181188092373386
2023-04-14T09:00:00Z,99.61000061035156,100.0,50.0,50.0,438.45,7278.827592773438,20.368199939727784,29.57499979019165
2023-04-14T09:15:00Z,99.61000061035156,100.0,50.0,50.0,439.45544554455444,7289.872471573329,20.579010009765625,29.00990082013725
2023-04-14T09:30:00Z,99.61000061035156,100.0,50.0,50.0,437.31,7274.187299804687,20.753099822998045,28.52700002670288
2023-04-14T09:45:00Z,99.61000061035156,100.0,50.0,50.0,438.1485148514852,7282.385065362005,20.851700325012207,28.045544577117013
2023-04-14T10:00:00Z,99.61000061035156,100.0,50.0,50.0,441.13,7307.849428710938,20.91663349264919,27.807999591827393
2023-04-14T10:15:00Z,99.61000061035156,100.0,50.0,50.0,441.44554455445547,7313.1328221689355,21.011200218200685,27.4219997215271
2023-04-14T10:30:00Z,99.61000061035156,100.0,50.0,50.0,442.23,7319.068286132812,21.090792249925066,27.084158736880465
