time,ADS.fAHUTempEHAADSInternalValuesMirror,ADS.fAHUTempETAADSInternalValuesMirror,ADS.fAHUTempODAADSInternalValuesMirror,ADS.fAHUTempSUPADSInternalValuesMirror,ADS.fAHUPHTempAirOutADSInternalValuesMirror,ADS.fAHUCOTempOutADSInternalValuesMirror,ADS.fAHUPHValveActADSInternalValuesMirror,ADS.fAHUCOValveActADSInternalValuesMirror
2022-12-01T00:00:00Z,13.328965483040646,18.899309947572906,5.347241451000345,18.189999613268622,19.04473192938443,17.462068820821827,39.985648714262865,30.86136929742221
2022-12-01T00:15:00Z,13.117241300385574,18.878275509538323,5.314138050737052,18.122758602273876,19.0201337090854,17.379309884433088,39.95215304144497,30.89504485294737
2022-12-01T00:30:00Z,13.168965536972571,18.87137945767107,5.282413893732532,18.148620408156823,19.00592725030307,17.396551329514075,39.99045878443225,30.875049985688307
2022-12-01T00:45:00Z,13.122758635159197,18.86724176078007,5.26344841924207,18.0851721270331,19.00750574572333,17.34827528328731,39.96883852728482,30.869788268516803
2022-12-01T01:00:00Z,13.08571423803057,18.870714323861257,5.212142722947257,18.13249969482422,18.996991838727677,17.372413306400695,39.950568199157715,30.85084579730856
2022-12-01T01:15:00Z,13.162068926054856,18.84965554599104,5.230344706568225,18.08517225857439,19.00934732371363,17.360713754381454,39.963262755295325,30.88102606364659
2022-12-01T01:30:00Z,12.944482704688763,18.832413772056842,5.134482679695918,18.083792850889008,18.95160069958917,17.344826994271113,39.952866126751076,30.871892863306506
2022-12-01T01:45:00Z,13.166206918913742,18.82551706248316,5.107241318143648,18.05965515662884,18.976856626313307,17.3620684393521,39.95693614565093,30.87294525935732
2022-12-01T02:00:00Z,12.89517251376448,18.811723643335803,5.095172372357599,18.038620718594256,18.943313598632812,17.27241351686675,39.97604646353886,30.88241636342016
2022-12-01T02:15:00Z,13.167931129192484,18.81034430142107,5.107930956215694,18.057241374048694,18.96357095652613,17.344826994271113,39.948763090988685,30.86768341064453
2022-12-01T02:30:00Z,12.855714321136475,18.798928328922816,5.066785744258335,18.008213928767614,18.928317892140356,17.248275888377222,39.92236604361698,30.864526354033373
2022-12-01T02:45:00Z,13.131034423565042,18.796896309688172,5.083793097528918,18.037240916285022,18.947945731026785,17.306895815092943,39.95544637952532,30.897149645048998
2022-12-01T03:00:00Z,12.914482774405643,18.784138449307147,5.068275862726672,17.984827238937903,18.909638766584724,17.239285945892334,39.94221483427903,30.878845964159286
2022-12-01T03:15:00Z,13.069655122428104,18.7786210816482,5.062413824015651,18.03689634388891,18.91292743025155,17.303447591847387,39.97192053959287,30.89294012661638
2022-12-01T03:30:00Z,12.973793194211762,18.75965539340315,5.07275860885094,17.98448240345922,18.901614748198412,17.26206897867137,39.95990227008688,30.859264373779297
2022-12-01T03:45:00Z,12.908275768674653,18.747241316170527,5.083793130414239,18.000344901249328,18.862939768824084,17.25172417739342,39.957066634605674,30.887678146362305
2022-12-01T04:00:00Z,13.008620689655173,18.735861745373956,5.0731034443296235,17.94827573052768,18.881224928231074,17.241379441886114,39.97143423146215,30.867683476415174
2022-12-01T04:15:00Z,12.806071383612496,18.734642505645752,5.021428602082389,17.957499708448136,18.847398349217006,17.193103856053845,39.966447012765066,30.880311768630456
2022-12-01T04:30:00Z,13.022413878605283,18.723792503620015,4.981724097810942,17.938275501645844,18.865308169660896,17.225000177110946,39.95687918827451,30.867946556636266
2022-12-01T04:45:00Z,12.721724082683695,18.72379256939066,4.971724099126355,17.93551675204573,18.826369581551386,17.15862122897444,39.96182527213261,30.85505511842925
2022-12-01T05:00:00Z,12.997241480597134,18.713792669362036,4.973448276519775,17.92448221403977,18.850837575978247,17.200000565627526,39.9616857068292,30.893992588437836
2022-12-01T05:15:00Z,12.74620690839044,18.7055172098094,4.9337930843747895,17.902068565631733,18.80900613192854,17.14827636192585,39.96184723952721,30.85400285391972
2022-12-01T05:30:00Z,13.027586246358938,18.703103690311828,4.974482750070506,17.933447739173626,18.828342832367994,17.210345432676117,39.96178725670124,30.866631014593715
2022-12-01T05:45:00Z,12.860344788123822,18.69172444836847,4.997930987127896,17.89862034238618,18.8069014713682,17.151724650942047,39.96780803285796,30.87189292907715
2022-12-01T06:00:00Z,12.985714197158813,18.68964331490653,5.041071483067104,17.950713770730154,18.818514687674387,17.203448854643725,39.97529493059431,30.86136929742221
2022-12-01T06:15:00Z,12.887241396410712,18.682414087755927,5.069655188198747,17.890344290897765,18.803481397957636,17.1428576196943,39.95400869435277,30.87121650150844
2022-12-01T06:30:00Z,12.872758635159197,18.68000030517578,5.041724139246448,17.93103395659348,18.79966670069201,17.175862608284785,39.97138293036099,30.876102447509766
2022-12-01T06:45:00Z,12.841379231420056,18.697586191111597,5.008620673212512,19.998620658085265,18.8308430375724,17.16896596448175,39.952151331408274,30.854002722378436
2022-12-01T07:00:00Z,13.041724139246448,18.890689455229662,4.981724130696263,19.499654901438745,19.01592438796471,17.362068505122743,39.956956139926255,30.884521287063073
2022-12-01T07:15:00Z,12.977241384571997,18.899309947572906,4.979310381001439,19.192413527390052,19.022501452215785,17.3620684393521,39.969968730005725,30.888730608183764
2022-12-01T07:30:00Z,12.997499976839338,18.899999618530273,5.025357178279331,19.168214184897288,19.028946975181842,17.399999618530273,39.966538001751076,30.849793335487103
2022-12-01T07:45:00Z,13.107586202950314,18.850000315699084,5.023793138306717,19.18482780456543,18.989362444196427,17.386206462465484,39.97025203704834,30.875049854147022
