time,Flap / Valve,Flap / Valve,Flap / Valve,Flap / Valve,Speed,Speed,Vdp,Volume,Volume,Temperature,Temperature,Humidity,Humidity
2022-08-03T13:15:00Z,99.6100006103516,100,99.6100006103516,100,52.6877834796906,52.7384682496389,444.6875,7421.20849609375,3486.01503245036,30.092603524526,27.6595833698908,40.3906249602636,44.9458338022232
2022-08-03T13:30:00Z,99.6100006103516,100,99.6100006103516,100,53.1260514747439,53.0305732967347,445.527559055118,7429.36821019931,3461.97287732222,30.1653543006717,27.7721259800468,40.2999992370606,44.7732279920203
2022-08-03T13:45:00Z,99.6100006103516,100,99.6100006103516,100,52.924755692482,52.8202936947346,445.78125,7432.04388046265,3478.72883987427,30.1196854959323,27.8018113233912,40.2859371900559,44.532811999321
2022-08-03T14:00:00Z,99.6100006103516,100,99.6100006103516,100,52.7511336259016,52.7324383352685,445.267716535433,7428.53963152067,3484.38227615957,30.1928123235702,27.8806248158216,40.1653538200799,44.385827973133
2022-08-03T14:15:00Z,99.6100006103516,100,99.6100006103516,100,52.5925427377224,52.6461438536644,445.609375,7432.77367019653,3482.38324165344,30.2502338737249,27.9704688340425,40.0476565659046,44.1726551353931
2022-08-03T14:30:00Z,99.6100006103516,100,99.6100006103516,100,52.5989470594511,52.6902011060339,445.314960629921,7431.01988881029,3481.50401390256,30.2103943261575,28.0487402517965,39.9803152609998,43.8661417322835
2022-08-03T14:45:00Z,99.6100006103516,100,99.6100006103516,100,52.7511400538167,52.6905460207481,444.897637795276,7427.99690114419,3490.12747408649,30.2312594135915,28.0777169175035,39.8795275950995,43.7118108253779
2022-08-03T15:00:00Z,99.6100006103516,100,99.6100006103516,100,52.5279220342636,52.5726203322411,445.4140625,7432.9045753479,3494.84968185425,30.309843569994,28.133437871933,39.6109370589256,43.4734379053116
2022-08-03T15:15:00Z,99.6100006103516,100,99.6100006103516,100,52.4804417467493,52.4246211615134,445.204724409449,7432.21177180733,3503.49450779712,30.3895275836854,28.2054328017347,39.5275589049332,43.3795281057283
2022-08-03T15:30:00Z,99.6100006103516,100,99.6100006103516,100,52.2874860988827,52.3245282511073,444.92125984252,7430.19423597441,3501.70178511011,30.2832287315309,28.2566143246148,39.7803144980603,43.24645674698
2022-08-03T15:45:00Z,99.6100006103516,100,99.6100006103516,100,52.3322841525078,52.4275614917278,444.75,7428.46212387085,3508.66716384888,30.1979689598083,28.217500269413,39.9000015258789,43.2593750953674
2022-08-03T16:00:00Z,99.6100006103516,100,99.6100006103516,100,52.6031656039981,52.6906794450415,445.031496062992,7430.40822619341,3536.96275413693,30.213858326589,28.2015749863752,40.022834837906,43.4110235079067
2022-08-03T16:15:00Z,99.6100006103516,100,99.6100006103516,100,52.7398128058967,52.7078700028067,445.165354330709,7431.62056702141,3553.74394069882,30.1543305614802,28.1924408890131,40.0929127190057,43.4251969705417
2022-08-03T16:30:00Z,99.6100006103516,100,99.6100006103516,100,52.0488710105419,51.9725101292133,445.2890625,7433.31662750244,3527.20143318176,30.0437796435018,28.2440943530225,40.2539061903954,43.2648442387581
2022-08-03T16:45:00Z,99.6100006103516,100,99.6100006103516,100,51.9568145631805,51.971024340532,445.133858267717,7432.82807501846,3511.01028466412,30.0040625929832,28.3040623366833,40.2795271085003,43.0055117269201
2022-08-03T17:00:00Z,99.6100006103516,100,99.6100006103516,100,51.9966154694557,51.9078090488911,444.6953125,7429.10739135742,3526.28691291809,29.9873437285423,28.3182811737061,40.2671872377396,42.967188000679
2022-08-03T17:15:00Z,99.6100006103516,100,99.6100006103516,100,51.9591808168907,52.0567078477754,444.661417322835,7428.4552357591,3517.90700933501,29.8437009195643,28.2853551399051,40.4551183144877,42.912599758839
2022-08-03T17:30:00Z,99.6100006103516,100,99.6100006103516,100,52.1125310957432,51.9825211763382,444.78125,7427.98366928101,3518.78158378601,29.6697653234005,28.1905470341444,40.7335932552815,43.033594250679
2022-08-03T17:45:00Z,99.6100006103516,100,99.6100006103516,100,52.0054104328156,52.0042678415775,445.3828125,7432.25528717041,3532.29535484314,29.562499910593,28.1171872615814,40.9468758106232,43.2203129529953
2022-08-03T18:00:00Z,99.6100006103516,100,99.6100006103516,100,52.5895224143201,52.6779353825126,444.307086614173,7421.45582784818,3543.7322757751,29.4075589818279,27.9635433737687,41.2811021579532,43.5007866386354
2022-08-03T18:15:00Z,99.6100006103516,100,99.6100006103516,100,52.9649393276906,52.9787786288524,445.299212598425,7427.5767447404,3531.27238212045,29.1548026527945,27.8061417557123,41.7464564766471,43.806299615094
2022-08-03T18:30:00Z,99.6100006103516,100,99.6100006103516,100,52.9013219773769,52.8550269007683,446.7421875,7437.56801986694,3537.5609703064,28.9954686611891,27.6442965120077,42.0007812380791,44.0890621840954
2022-08-03T18:45:00Z,99.6100006103516,100,99.6100006103516,100,52.679126650095,52.6266200244427,445.9296875,7429.51993942261,3556.57982063293,28.8235155642033,27.5248433202505,42.3710942864418,44.3679687678814
2022-08-03T19:00:00Z,99.6100006103516,100,99.6100006103516,100,52.8750254713644,52.7713496891532,446.700787401575,7433.28171905758,3557.98389056348,28.4216670838613,27.332936544267,43.399205919296,44.8642863319034
2022-08-03T19:15:00Z,99.6100006103516,100,99.6100006103516,100,52.520553919274,52.5492781691664,446.976377952756,7433.73787370817,3546.52470433994,27.9309369474649,27.1597653478384,44.5679687559605,45.2742191553116
2022-08-03T19:30:00Z,99.6100006103516,100,99.6100006103516,100,52.5583233870859,52.5139453917976,446.866141732283,7431.31587183194,3561.58445727731,27.8728350391538,27.0437791328731,44.8196847269854,45.6606295127568
