time,ADS.fAHUTempEHAADSInternalValuesMirror,ADS.fAHUTempETAADSInternalValuesMirror,ADS.fAHUTempODAADSInternalValuesMirror,ADS.fAHUTempSUPADSInternalValuesMirror,ADS.fAHUPHValveActADSInternalValuesMirror,ADS.fAHUCOValveActADSInternalValuesMirror
2022-11-01T00:00:00Z,18.415477901956308,22.205652021325154,16.963652420043946,22.11904343314793,0.0,30.82741009256114
2022-11-01T00:15:00Z,18.275000506433948,22.225171845534753,16.764655442073426,22.08034475918474,0.0,30.855055167757232
2022-11-01T00:30:00Z,18.15715525068086,22.1991386084721,16.629310591467494,22.03396568627193,0.0,30.825589245763318
2022-11-01T00:45:00Z,18.03431093281713,22.177500247955322,16.484223776850207,21.984913447807575,0.0,30.854791986531225
2022-11-01T01:00:00Z,17.98275827539378,22.164051664286646,16.42232743624983,21.96456815456522,0.0,30.88718327905378
2022-11-01T01:15:00Z,17.90736820823268,22.155262896889134,16.327631448444567,21.944736530906276,0.0,30.925865024069083
2022-11-01T01:30:00Z,17.82316287766155,22.132906025291508,16.216923037145893,21.89393110356779,0.0,30.845321014009674
2022-11-01T01:45:00Z,17.7728700886602,22.09478287074877,16.206174137281334,21.844782688306726,0.0,30.831640243530273
2022-11-01T02:00:00Z,17.782261607957924,22.098348169741424,16.216086230070694,21.835739185499108,0.0,30.897877799140083
2022-11-01T02:15:00Z,17.764348154482633,22.087565314251442,16.19147828143576,21.84234803241232,0.0,30.90987675006573
2022-11-01T02:30:00Z,17.765258969931768,22.073017005262702,16.194914439628864,21.82715503100691,0.0,30.872054874387562
2022-11-01T02:45:00Z,17.793391617484716,22.04686974235203,16.265304233716883,21.797651871390965,0.0,30.898201810902563
2022-11-01T03:00:00Z,17.909122902050353,22.05280631885194,16.42780705502159,21.831140300683806,0.0,30.861909236078677
2022-11-01T03:15:00Z,17.933652098282522,22.059999465942383,16.42295633398968,21.858260909370753,0.0,30.812434706194647
2022-11-01T03:30:00Z,17.97226033418075,22.0340006786844,16.4961738254713,21.844348078188688,0.0,30.89773519764776
2022-11-01T03:45:00Z,17.950260908707328,22.027826541403066,16.46382593901261,21.837130521691364,0.0,30.855581480881263
2022-11-01T04:00:00Z,17.89344828704308,22.041724681854248,16.35474099784062,21.838793228412495,0.0,30.82562519953801
2022-11-01T04:15:00Z,17.846782402370287,22.03539163340693,16.29921702509341,21.810347299990447,0.0,30.820509703262992
2022-11-01T04:30:00Z,17.745258199757544,22.001206924175396,16.155345028844373,21.771120581133612,0.0,30.883995154808307
2022-11-01T04:45:00Z,17.572544064438134,22.026930440936173,15.897105384291264,21.730789033990156,0.0,30.84810956872028
2022-11-01T05:00:00Z,17.377093828641453,22.017949128762268,15.648461586389786,21.676837480985203,0.0,30.84821505382143
2022-11-01T05:15:00Z,17.200000265370246,21.97304286127505,15.434347899063773,21.5960867508598,0.0,30.828471805738367
2022-11-01T05:30:00Z,16.964529510237213,21.953931417220677,15.108205241015833,21.512221882485935,0.0,30.868924752259865
2022-11-01T05:45:00Z,16.64521708281144,21.945478920314624,14.670260951829993,21.418086491460386,0.0,30.851635143674653
2022-11-01T06:00:00Z,16.304870323512866,21.897130568131157,14.24721740225087,21.29713018666143,0.0,30.902512011320695
2022-11-01T06:15:00Z,15.973826466435971,21.829565131145976,13.839130351854408,21.14947788404382,0.0,30.843863760906718
2022-11-01T06:30:00Z,15.635652376257855,21.791739505270254,13.387391214785369,21.017825416896653,0.0,30.849530351573023
2022-11-01T06:45:00Z,15.21557522664028,21.74610627436005,12.837610641411976,20.86840715661513,0.0,30.876646962082177
2022-11-01T07:00:00Z,14.865217540575111,21.663043428503947,12.4470435930335,20.703478307309357,0.0,30.82190595824143
2022-11-01T07:15:00Z,14.872782723799995,21.587130521691364,12.639739243880562,20.595565082715904,0.0,30.89030910360402
2022-11-01T07:30:00Z,15.51991315924603,21.591130613244097,13.601391435706097,20.744869232177734,0.0,30.87662885928976
2022-11-01T07:45:00Z,15.893912763180941,21.591913239852243,14.053826182821522,20.869390952068827,0.0,30.903042834738027
2022-11-01T08:00:00Z,16.005478220400605,21.56739093946374,14.17652187347412,20.90347795901091,0.0,30.952137789518936
2022-11-01T08:15:00Z,16.242869484942894,21.599913422957712,14.50573911252229,20.96591271110203,0.0,30.87557601928711
2022-11-01T08:30:00Z,16.588275909423828,21.667069056938434,14.949223839003464,21.101119863575903,0.0,30.865315766170106
2022-11-01T08:45:00Z,16.735000376115764,21.722104842202704,15.101842144079376,21.200525902865227,0.0,30.847313574086066
2022-11-01T09:00:00Z,16.840521721217943,21.751217419168224,15.216956511787746,21.245999908447267,0.0,30.829002562813137
2022-11-01T09:15:00Z,17.073076378585945,21.82256436144185,15.556495845827282,21.33931598500309,0.0,30.916919724554077
2022-11-01T09:30:00Z,17.33573930159859,21.916174001279085,15.837217082148014,21.48173881199049,0.0,30.921884669428287
2022-11-01T09:45:00Z,17.475217338230298,21.9958262236222,15.977738770194676,21.58104311072308,0.0,30.854478537518045
2022-11-01T10:00:00Z,17.59321798241657,22.055565444282863,16.076173981376318,21.650956510460894,0.0,30.852161160830793
2022-11-01T10:15:00Z,17.68637933402226,22.128620805411504,16.200000762939453,21.743792961383686,0.0,30.852491721128807
2022-11-01T10:30:00Z,17.785603276614484,22.20758584450031,16.271034536690546,21.832413837827485,0.0,30.850229942192467
2022-11-01T10:45:00Z,17.927217267907185,22.259565253879714,16.482261010874872,21.913565328846808,0.0,30.856836620130036
