time,ADS.fAHUFlapETAActADSInternalValuesMirror,ADS.fAHUFlapETASetADSInternalValuesMirror,ADS.fAHUFanETASpeedActADSInternalValuesMirror,ADS.fAHUFanETASpeedSetADSInternalValuesMirror,ADS.fAHUFanETAVdpActADSInternalValuesMirror,ADS.fAHUFanETAVolFlowActADSInternalValuesMirror,ADS.fAHUTempETAADSInternalValuesMirror,ADS.fAHUHumETAADSInternalValuesMirror
2023-01-06T22:45:00Z,99.61000061035156,100.0,53.372636203108165,53.39512029187433,457.86206896551727,7430.143723060345,19.723102832662647,48.29655101381499
2023-01-06T23:00:00Z,99.61000061035156,100.0,53.56855092729841,53.57030051095145,457.82142857142856,7429.8309326171875,19.729642391204834,48.18928609575544
2023-01-06T23:15:00Z,99.5965523555361,100.0,53.55889129638672,53.58855951243434,457.1034482758621,7424.117221174569,19.73551690989527,48.05861979517444
2023-01-06T23:30:00Z,99.61000061035156,100.0,53.64726875568258,53.61102558004445,458.62068965517244,7436.555007408405,19.745517138777107,47.97241421403556
2023-01-06T23:45:00Z,99.5965523555361,100.0,53.57347212166622,53.57920035000505,458.13793103448273,7432.713412580819,19.753103519308155,47.900001525878906
2023-01-07T00:00:00Z,99.61000061035156,100.0,53.56880911465349,53.58716030778556,456.2068965517241,7416.892628636853,19.75071430206299,47.86551797801051
2023-01-07T00:15:00Z,99.59607206072126,100.0,53.60229805537632,53.58656978607178,458.60714285714283,7436.6954345703125,19.76310374818999,47.76071412222726
2023-01-07T00:30:00Z,99.61000061035156,100.0,53.5690891660493,53.540789637072336,458.7931034482759,7438.227707435345,19.77413848350788,47.63448202198949
2023-01-07T00:45:00Z,99.5965523555361,100.0,53.64131033009496,53.603926033809266,457.9655172413793,7431.588261045259,19.771379799678407,47.59655025087554
2023-01-07T01:00:00Z,99.61000061035156,100.0,53.48461006427633,53.49341741101495,456.37931034482756,7419.443915005388,19.786896738512763,47.50689644649111
2023-01-07T01:15:00Z,99.5965523555361,100.0,53.6064119010136,53.58031858246902,458.3103448275862,7428.759816136853,19.8014281136649,47.44138020482556
2023-01-07T01:30:00Z,99.59607206072126,100.0,53.44223158700125,53.37783418382917,460.0,7447.5477294921875,19.803103085221917,47.367857933044434
2023-01-07T01:45:00Z,99.61000061035156,100.0,53.56515555546201,53.522009882433665,458.62068965517244,7437.339608028017,19.813792656207905,47.25172411162278
2023-01-07T02:00:00Z,99.61000061035156,100.0,53.5605829173121,53.57311275087554,456.9655172413793,7424.021989493534,19.81758584647343,47.14137873156317
2023-01-07T02:15:00Z,99.61000061035156,100.0,53.72218914689689,53.7225148431186,456.8965517241379,7423.455499057112,19.823103214132374,46.975862437281116
2023-01-07T02:30:00Z,99.61000061035156,100.0,53.66385242856782,53.6595836507863,456.6551724137931,7421.611563846983,19.832857131958008,46.7448274020491
2023-01-07T02:45:00Z,99.61000061035156,100.0,53.57432964869908,53.55224405016218,458.89285714285717,7439.820103236607,19.837931139715785,46.53214236668178
2023-01-07T03:00:00Z,99.5965523555361,100.0,53.49788494767814,53.518005239552465,456.6551724137931,7421.773993130388,19.84344850737473,46.35862126843683
2023-01-07T03:15:00Z,99.61000061035156,100.0,53.45120199795427,53.36676091161267,460.2068965517241,7447.622962688578,19.835172455886315,46.203448328478586
2023-01-07T03:30:00Z,99.5965523555361,100.0,53.431749804266566,53.444592311464504,456.7931034482759,7423.644026131466,19.837241468758418,46.04827525697905
2023-01-07T03:45:00Z,99.5965523555361,100.0,53.470812041184,53.47317649578226,456.6551724137931,7424.901384024784,19.82964277267456,45.903571946280344
2023-01-07T04:00:00Z,99.61000061035156,100.0,53.420608384268625,53.40440845489502,458.89285714285717,7439.792184012277,19.82724123987658,45.706896025559
2023-01-07T04:15:00Z,99.5965523555361,100.0,53.571889285383556,53.59427471818595,456.82758620689657,7422.790241109914,19.811723643335803,45.40689678849845
2023-01-07T04:30:00Z,99.61000061035156,100.0,53.436338358911975,53.39709406885608,458.17241379310343,7433.563628098061,19.797586046416185,45.003448223245556
2023-01-07T04:45:00Z,99.5965523555361,100.0,53.480713285248854,53.451740922599,459.41379310344826,7443.555091594828,19.79827558583227,44.55862084750471
2023-01-07T05:00:00Z,99.61000061035156,100.0,53.55545372798525,53.568831476671946,458.55172413793105,7436.260051858836,19.770000457763672,44.28214304787772
2023-01-07T05:15:00Z,99.61000061035156,100.0,53.55295712607248,53.559447697230745,458.67857142857144,7437.17822265625,19.75931055792447,44.03793058724239
2023-01-07T05:30:00Z,99.5965523555361,100.0,53.477429620150865,53.43803721460803,459.1034482758621,7440.628552667026,19.754827696701575,43.76551753077014
2023-01-07T05:45:00Z,99.58310410072063,100.0,53.542824054586475,53.56543271294956,457.0689655172414,7428.4569302262935,19.734827238937903,43.5379304557011
2023-01-07T06:00:00Z,99.5965523555361,100.0,53.63693579312029,53.624804266567885,457.55172413793105,7429.873568830819,19.726206351970806,43.3620693601411
2023-01-07T06:15:00Z,99.61000061035156,100.0,53.690625599452424,53.66865634918213,456.9642857142857,7422.722133091518,19.71607106072562,43.224999972752165
2023-01-07T06:30:00Z,99.5965523555361,100.0,53.62998002150963,53.642021047657934,457.13793103448273,7424.068881330819,19.715516583672887,43.051723348683325
2023-01-07T06:45:00Z,99.5965523555361,100.0,53.41538975156587,53.46081779743063,457.86206896551727,7429.809351427802,19.708965301513672,42.765517399228855
2023-01-07T07:00:00Z,99.61000061035156,100.0,53.17077426252694,53.15083944386449,458.9655172413793,7438.6608297413795,19.698965730338262,42.31724166870117
2023-01-07T07:15:00Z,99.61000061035156,100.0,53.21639001780543,53.27715064739359,457.6551724137931,7427.790392645474,19.67821455001831,41.95862066334691
2023-01-07T07:30:00Z,99.61000061035156,100.0,53.17158998761858,53.15037032536098,457.9642857142857,7430.369873046875,19.675517443952888,41.66071401323591
2023-01-07T07:45:00Z,99.61000061035156,100.0,53.13602302814352,53.18100699063005,457.17241379310343,7423.860368399784,19.67275876012342,41.4310355350889
2023-01-07T08:00:00Z,99.5965523555361,100.0,53.206640309300916,53.220707202779835,456.3448275862069,7416.3820211476295,19.657930834540004,41.400001525878906
2023-01-07T08:15:00Z,99.61000061035156,100.0,53.25644276059907,53.24751097580482,458.51724137931035,7433.9560546875,19.67827612778236,41.35862126843683
2023-01-07T08:30:00Z,99.61000061035156,100.0,53.19998484644397,53.24870760687466,456.9310344827586,7422.017544450431,19.677143096923828,41.29999923706055
2023-01-07T08:45:00Z,99.59607206072126,100.0,53.29633576529367,53.298791476658415,459.07142857142856,7439.524972098215,19.69517267161402,41.22500038146973
2023-01-07T09:00:00Z,99.61000061035156,100.0,53.22575023256499,53.257800266660496,456.48275862068965,7419.764968345905,19.733792798272496,41.027585917505725
2023-01-07T09:15:00Z,99.61000061035156,100.0,53.158700087974815,53.16703309683964,457.13793103448273,7425.208765490302,19.75758638053105,40.6793098449707
2023-01-07T09:30:00Z,99.58310410072063,100.0,53.2037546881314,53.22348075077451,456.7241379310345,7420.278842268319,19.77517292417329,40.22413806257577
2023-01-07T09:45:00Z,99.58310410072063,100.0,53.198872796420396,53.21456080469592,456.7586206896552,7422.364190463362,19.821428435189382,39.648276098843276
2023-01-07T10:00:00Z,99.61000061035156,100.0,53.10171277182443,53.137257848467144,457.82142857142856,7431.602992466518,19.871379260359138,39.053571292332244
2023-01-07T10:15:00Z,99.61000061035156,100.0,53.13927801724138,53.17323171681371,456.8965517241379,7424.476192079741,19.901378960445008,38.658620242414806
2023-01-07T10:30:00Z,99.61000061035156,100.0,53.086832506903285,53.104837614914466,457.2758620689655,7428.094676050647,19.940000139433764,38.38275883115571
2023-01-07T10:45:00Z,99.5965523555361,100.0,52.90873310483735,52.91894281321559,457.8965517241379,7433.661991514009,19.983103127315125,38.14482734943258
