time,ADS.fAHUPHValveActADSInternalValuesMirror,ADS.fAHUPHValveSetADSInternalValuesMirror,ADS.eAHUPHPumpContModeADSInternalValuesMirror,ADS.bAHUPHPumpErrorADSInternalValuesMirror,ADS.bAHUPHPumpOperatingADSInternalValuesMirror,ADS.fAHUPHPumpPowerADSInternalValuesMirror,ADS.fAHUPHPumpPressureADSInternalValuesMirror,ADS.bAHUPHPumpSetOnADSInternalValuesMirror,ADS.fAHUPHPumpSetpointADSInternalValuesMirror,ADS.fAHUPHPumpSpeedADSInternalValuesMirror,ADS.fAHUPHPumpVolFlowADSInternalValuesMirror,ADS.fAHUPHTempSupPrimADSInternalValuesMirror,ADS.fAHUPHTempRetPrimADSInternalValuesMirror,ADS.fAHUPHTempSupADSInternalValuesMirror,ADS.fAHUPHTempRetADSInternalValuesMirror
2022-11-01T00:00:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,83.77565188200577,81.6939128709876,16.225217338230298,39.710434888756794
2022-11-01T00:15:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,79.03103433806321,76.56724127407732,16.09913830921568,40.50517213755641
2022-11-01T00:30:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,71.65862076857994,69.19913791788035,16.200000762939453,39.04827604622677
2022-11-01T00:45:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72.35862087381297,70.279310489523,16.01810359954834,37.85172416423929
2022-11-01T01:00:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,83.18017229540595,80.76810310626853,15.598275982100388,40.37500009865597
2022-11-01T01:15:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,75.33771943209464,72.8798245212488,15.783333276447497,39.56754393326609
2022-11-01T01:30:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,68.4974362626035,66.06752144577156,15.810256387433435,38.111111111111114
2022-11-01T01:45:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,81.67478246274202,79.66782611349355,15.510434805828591,38.898261095129925
2022-11-01T02:00:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,81.10869551948879,78.62608675749405,15.413043569481891,40.65826077668563
2022-11-01T02:15:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,73.37391291079314,70.90347827413808,15.76434789740521,39.1295652638311
2022-11-01T02:30:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,67.84529876708984,65.56495718670706,15.703418829502203,37.48205116467598
2022-11-01T02:45:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,84.14956519085428,81.99739141049592,15.390434837341308,39.51304361094599
2022-11-01T03:00:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,78.43739126454228,75.96956535007642,15.553043506456458,40.08347844662874
2022-11-01T03:15:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,71.04260857623557,68.56782604715099,15.882608413696289,38.69652199123217
2022-11-01T03:30:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72.73130440090013,70.66869546641475,15.81130434948465,37.6721737737241
2022-11-01T03:45:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,83.5504346764606,81.14173928965693,15.543478343797767,40.45652187181556
2022-11-01T04:00:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,75.18205124292618,72.70427364773221,15.817948594052567,39.54786323482155
2022-11-01T04:15:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,67.98869536026665,65.53478244283924,15.839130401611328,37.92521737140158
2022-11-01T04:30:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,82.24741383256584,80.1887931166024,15.531896582965192,39.09310370478137
2022-11-01T04:45:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,79.24086973770805,76.76695662788723,15.306956407298212,40.18608673759129
2022-11-01T05:00:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,71.08362046603499,68.59568964201829,15.46206886192848,38.56034469604492
2022-11-01T05:15:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,71.78695638905401,69.66782598080843,15.153913066698157,37.40260875536048
2022-11-01T05:30:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,84.68974362886868,82.28888898018079,14.60940176808936,40.00940166375576
2022-11-01T05:45:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,75.77913008980128,73.25304346499236,14.584348114677098,39.33103436437146
2022-11-01T06:00:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,67.85217391304347,65.35478236986243,14.419130399952763,37.53043474943742
2022-11-01T06:15:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,78.86608654519786,76.85217407889988,13.837391339177671,37.67652206420898
2022-11-01T06:30:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,81.12608682383662,78.55826104205588,13.27391305177108,39.536522110648775
2022-11-01T06:45:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,71.84912276686283,69.31315800181606,13.265789500454016,37.968421132940996
2022-11-01T07:00:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,69.42608689017918,67.2391303020975,12.853043498163638,36.322608649212384
2022-11-01T07:15:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,85.3504350081734,83.02434771993886,12.186087019547172,38.692173899774964
2022-11-01T07:30:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,78.19304358440897,75.63913056746773,12.777391309323518,38.786956588081694
2022-11-01T07:45:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,69.37304335884426,66.86000014595363,13.51217393460481,37.33565206113069
2022-11-01T08:00:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72.86782604715098,70.84173915697181,13.666956553251847,36.52521743774414
2022-11-01T08:15:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,85.1704345703125,82.72758615428003,13.57652181542438,39.721551960912244
2022-11-01T08:30:00Z,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,76.39827583576071,73.8060346142999,14.253448215024225,38.87327601991851
