time,ADS.fAHUHRBypValveSetADSInternalValuesMirror,ADS.fAHUHRBypValveAct1ADSInternalValuesMirror
2023-04-01T00:00:00Z,46.498008728027344,46.498008728027344
2023-04-01T00:15:00Z,46.498008728027344,46.498008728027344
2023-04-01T00:30:00Z,46.498008728027344,46.498008728027344
2023-04-01T00:45:00Z,46.498008728027344,46.498008728027344
2023-04-01T01:00:00Z,46.498008728027344,46.498008728027344
2023-04-01T01:15:00Z,46.498008728027344,46.498008728027344
2023-04-01T01:30:00Z,46.498008728027344,46.498008728027344
2023-04-01T01:45:00Z,46.498008728027344,46.498008728027344
2023-04-01T02:00:00Z,46.498008728027344,46.498008728027344
2023-04-01T02:15:00Z,46.498008728027344,46.498008728027344
2023-04-01T02:30:00Z,46.498008728027344,46.498008728027344
2023-04-01T02:45:00Z,46.498008728027344,46.498008728027344
2023-04-01T03:00:00Z,46.498008728027344,46.498008728027344
2023-04-01T03:15:00Z,46.498008728027344,46.498008728027344
2023-04-01T03:30:00Z,46.498008728027344,46.498008728027344
2023-04-01T03:45:00Z,46.498008728027344,46.498008728027344
2023-04-01T04:00:00Z,46.498008728027344,46.498008728027344
2023-04-01T04:15:00Z,46.498008728027344,46.498008728027344
2023-04-01T04:30:00Z,46.498008728027344,46.498008728027344
2023-04-01T04:45:00Z,46.498008728027344,46.498008728027344
2023-04-01T05:00:00Z,46.498008728027344,46.498008728027344
2023-04-01T05:15:00Z,46.498008728027344,46.498008728027344
2023-04-01T05:30:00Z,46.498008728027344,46.498008728027344
2023-04-01T05:45:00Z,46.498008728027344,46.498008728027344
2023-04-01T06:00:00Z,46.498008728027344,46.498008728027344
2023-04-01T06:15:00Z,46.498008728027344,46.498008728027344
2023-04-01T06:30:00Z,46.498008728027344,46.498008728027344
2023-04-01T06:45:00Z,46.498008728027344,46.498008728027344
2023-04-01T07:00:00Z,46.498008728027344,46.498008728027344
2023-04-01T07:15:00Z,46.498008728027344,46.498008728027344
2023-04-01T07:30:00Z,46.498008728027344,46.498008728027344
2023-04-01T07:45:00Z,46.498008728027344,46.498008728027344
2023-04-01T08:00:00Z,46.498008728027344,46.498008728027344
2023-04-01T08:15:00Z,46.498008728027344,46.498008728027344
2023-04-01T08:30:00Z,46.498008728027344,46.498008728027344
2023-04-01T08:45:00Z,46.498008728027344,46.498008728027344
2023-04-01T09:00:00Z,46.498008728027344,46.498008728027344
2023-04-01T09:15:00Z,46.498008728027344,46.498008728027344
2023-04-01T09:30:00Z,46.498008728027344,46.498008728027344
2023-04-01T09:45:00Z,46.498008728027344,46.498008728027344
2023-04-01T10:00:00Z,46.498008728027344,46.498008728027344
2023-04-01T10:15:00Z,46.498008728027344,46.498008728027344
2023-04-01T10:30:00Z,46.498008728027344,46.498008728027344
2023-04-01T10:45:00Z,54.092997975868755,54.12917174915276
2023-04-01T11:00:00Z,20.42690996170044,20.538955078125
2023-04-01T11:15:00Z,21.05082551956177,20.932642288208008
2023-04-01T11:30:00Z,26.527114075009184,26.400658220347793
2023-04-01T11:45:00Z,32.15600200653076,32.03762269973755
2023-04-01T12:00:00Z,35.93281879991588,35.883762019695624
2023-04-01T12:15:00Z,38.49426002502442,38.47388053894043
2023-04-01T12:30:00Z,38.839385986328125,38.839385986328125
2023-04-01T12:45:00Z,40.301062774658206,40.24686592102051
2023-04-01T13:00:00Z,39.84502288818359,39.91061618804932
2023-04-01T13:15:00Z,37.44249714011013,37.427782379754696
2023-04-01T13:30:00Z,38.85270652770996,38.761411361694336
2023-04-01T13:45:00Z,44.194960528081005,44.13232856221718
2023-04-01T14:00:00Z,46.08065254211426,46.11106193542481
2023-04-01T14:15:00Z,43.34594333648682,43.42612880706787
2023-04-01T14:30:00Z,37.247579782316,37.40153171048306
2023-04-01T14:45:00Z,30.25790603637695,30.375855503082274
2023-04-01T15:00:00Z,28.83685829615829,28.818883669258344
2023-04-01T15:15:00Z,30.723383331298827,30.678518314361572
2023-04-01T15:30:00Z,32.72026851654053,32.72872001647949
2023-04-01T15:45:00Z,31.482970133866413,31.542712485436166
2023-04-01T16:00:00Z,28.586341876983642,28.640350284576417
2023-04-01T16:15:00Z,27.702558860778808,27.699622344970702
2023-04-01T16:30:00Z,27.74880599975586,27.74880599975586
2023-04-01T16:45:00Z,27.3772957611084,27.39214511871338
2023-04-01T17:00:00Z,25.258586128159326,25.25830576679494
2023-04-01T17:15:00Z,25.19908905029297,25.19908905029297
2023-04-01T17:30:00Z,25.19908905029297,25.19908905029297
2023-04-01T17:45:00Z,25.19908905029297,25.19908905029297
2023-04-01T18:00:00Z,25.237933502197265,25.237457389831544
2023-04-01T18:15:00Z,24.266115798950196,24.300123538970947
2023-04-01T18:30:00Z,21.505639425598748,21.54311999708119
2023-04-01T18:45:00Z,21.127986907958984,21.127986907958984
2023-04-01T19:00:00Z,21.127986907958984,21.127986907958984
2023-04-01T19:15:00Z,21.127986907958984,21.127986907958984
2023-04-01T19:30:00Z,21.127986907958984,21.127986907958984
2023-04-01T19:45:00Z,21.127986907958984,21.127986907958984
2023-04-01T20:00:00Z,21.127986907958984,21.127986907958984
2023-04-01T20:15:00Z,21.127986907958984,21.127986907958984
2023-04-01T20:30:00Z,21.127986907958984,21.127986907958984
2023-04-01T20:45:00Z,21.127986907958984,21.127986907958984
2023-04-01T21:00:00Z,21.127986907958984,21.127986907958984
2023-04-01T21:15:00Z,21.127986907958984,21.127986907958984
2023-04-01T21:30:00Z,21.127986907958984,21.127986907958984
2023-04-01T21:45:00Z,21.127986907958984,21.127986907958984
