time,ADS.fAHUFlapETAActADSInternalValuesMirror,ADS.fAHUFlapETASetADSInternalValuesMirror,ADS.fAHUFanETASpeedActADSInternalValuesMirror,ADS.fAHUFanETASpeedSetADSInternalValuesMirror,ADS.fAHUFanETAVdpActADSInternalValuesMirror,ADS.fAHUFanETAVolFlowActADSInternalValuesMirror,ADS.fAHUTempETAADSInternalValuesMirror,ADS.fAHUHumETAADSInternalValuesMirror,ADS.fAHUFanSUPVdpActADSInternalValuesMirror,ADS.fAHUFanSUPVolFlowActADSInternalValuesMirror
2022-12-30T20:30:00Z,99.58310410072063,100.0,53.685573709422144,53.66071109114022,457.9310344827586,7427.695733432112,19.51275891271131,55.63448202198949,702.0344827586207,7428.733196390086
2022-12-30T20:45:00Z,99.5965523555361,100.0,53.47873490432213,53.49604008115571,456.9655172413793,7420.240857354526,19.522069470635778,55.71034464342841,701.9310344827586,7428.603195716595
2022-12-30T21:00:00Z,99.5965523555361,100.0,53.637512075489965,53.58827183164399,458.8965517241379,7435.797077047414,19.519310786806304,55.88965540918811,701.448275862069,7426.328983701509
2022-12-30T21:15:00Z,99.58310410072063,100.0,53.56758814844592,53.526749314932985,459.0344827586207,7436.950431034483,19.520000457763672,56.237930955557985,703.7931034482758,7438.875757677802
2022-12-30T21:30:00Z,99.61000061035156,100.0,53.43817677991144,53.430612892940125,457.17241379310343,7418.697787580819,19.55428559439523,56.69310313257678,701.8275862068965,7428.474676724138
2022-12-30T21:45:00Z,99.58310410072063,100.0,53.38605736041891,53.35734295022899,459.86206896551727,7444.232472386853,19.563447820729223,57.000000272478374,702.2068965517242,7430.584354795259
2022-12-30T22:00:00Z,99.59607206072126,100.0,53.50119726998465,53.47407095772879,459.0,7437.078456333706,19.56448239293592,57.18965569857893,702.2142857142857,7430.796595982143
2022-12-30T22:15:00Z,99.61000061035156,100.0,53.3662355357203,53.34190184494545,459.3103448275862,7439.538506869612,19.554137723199254,57.162068860284215,701.4137931034483,7426.785526670259
2022-12-30T22:30:00Z,99.61000061035156,100.0,53.54705271227606,53.52001676888302,459.37931034482756,7440.198073814655,19.578965417270002,56.98275888377223,703.4137931034483,7438.262931034483
2022-12-30T22:45:00Z,99.5965523555361,100.0,53.57207212776974,53.564750802928,456.7931034482759,7419.943443561422,19.612069557453022,56.82758607535526,701.2413793103449,7427.461947737069
